catalog_evidence,digest,duplicate_of,error,observations,observed_at,parser,parser_version,reason,snapshot_id,source,status,target_id,timestamp,url
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,50,2021-10-11T22:11:25+00:00,wsdc_calendar.events,7,,snap_20260913T052415Z_56a422dd4c53,wsdc_calendar,parsed,164c4428d200c394955231ed,20211011221125,https://www.worldsdc.com/event-list/
snap_20260913T052900Z_00e38790862b,,,,33,2026-09-13T05:31:53.671216+00:00,wsdc_newsletter.events,6,,snap_20260913T053153Z_b3d4d7e4936b,wsdc_newsletter,parsed,168739e4497cfe804a117c5e,,http://www.worldsdc.com/wp-content/uploads/2020/12/WSDC-Newsletter-Vol-11-6-25-2019.pdf
research/verification/2026-09-12/event-list/asp/r00_web_archive_org.json,XLKOWQNJXQYIEIDDVLVWDYOP6MOPUD6L,,,10,2012-03-02T00:08:18+00:00,swingdancecouncil.events,2,,snap_20260913T050623Z_d97f842d3cbc,swingdancecouncil,parsed,176650387554f8279ef52203,20120302000818,http://swingdancecouncil.com:80/ActiveServerPages/NonRegUpcomingEvents.asp
research/verification/2026-09-12/event-list/asp/r00_web_archive_org.json,2LG7XQBKVBTF6GBKTBJX2AJAZ5NDSGPK,,,157,2015-09-07T02:33:20+00:00,swingdancecouncil.events,2,,snap_20260913T050913Z_e6ad854e9c1e,swingdancecouncil,parsed,177469d017fdcdbb8aeefc57,20150907023320,http://www.swingdancecouncil.com:80/ActiveServerPages/UpcomingEvents.asp
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,0,2021-04-15T13:33:03+00:00,wsdc_calendar.events,7,,snap_20260913T052143Z_b3917056b114,wsdc_calendar,empty,18a92f8ddb8955f46d840f4f,20210415133303,https://www.worldsdc.com/print-event-list/
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,498,2019-11-06T15:56:51+00:00,wsdc_calendar.events,7,,snap_20260913T051623Z_d09c995ab708,wsdc_calendar,parsed,1b3c6c6919989e1fb2654ece,20191106155651,https://www.worldsdc.com/event-calendar/
research/verification/2026-09-12/event-list/asp/r00_web_archive_org.json,QFG33JA62B2OUM3QMT76HJSDO6LEUPUY,,,96,2011-11-03T03:29:31+00:00,swingdancecouncil.events,2,,snap_20260913T050543Z_7c61405112ac,swingdancecouncil,parsed,1c03c1d6698dee5f35109bb9,20111103032931,http://www.swingdancecouncil.com/ActiveServerPages/UpcomingEvents.asp
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,50,2022-08-10T09:07:08+00:00,wsdc_calendar.events,7,,snap_20260913T052643Z_7369eeb97e2f,wsdc_calendar,parsed,1c46b673c3deae13b73a329f,20220810090708,https://www.worldsdc.com/event-list/
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,0,2020-12-01T17:17:22+00:00,wsdc_calendar.events,7,,snap_20260913T051943Z_05419bc5bd50,wsdc_calendar,empty,1cf9be1397fcd6c56e36ec69,20201201171722,https://www.worldsdc.com/print-event-list/
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,event-list parser failed; see archived body and parse finding,,,wsdc_calendar.events,,,snap_20260913T051124Z_69886cf0bd03,wsdc_calendar,finding,1e7c58035500bacb34f94ee2,20160909104400,http://www.worldsdc.com:80/events-map/
research/verification/2026-09-12/event-list/asp/r00_web_archive_org.json,CSDMBK4LJYXUSLEOPI5GFSX2QMJIEQLK,,,51,2012-06-27T03:27:58+00:00,swingdancecouncil.events,2,,snap_20260913T050643Z_3b5c53c6d4d5,swingdancecouncil,parsed,1f784b077c3b22aa75f93e55,20120627032758,http://www.swingdancecouncil.com:80/ActiveServerPages/UpcomingEvents.asp
snap_20260913T052900Z_00e38790862b,,,,39,2026-09-13T05:29:10.317609+00:00,wsdc_newsletter.events,6,,snap_20260913T052910Z_44c788523cf4,wsdc_newsletter,parsed,20080cca8335d832e9581711,,http://www.worldsdc.com/wp-content/uploads/2017/12/161202-WSDC-Newsletter-Vol-1-4.pdf
snap_20260913T052900Z_00e38790862b,,,,0,2026-09-13T05:33:13.875853+00:00,wsdc_newsletter.events,6,,snap_20260913T053313Z_e10a45b1cbaf,wsdc_newsletter,empty,203bf571ded3f493732cea58,,http://www.worldsdc.com/wp-content/uploads/2021/03/WSDC-Newsletter-Vol-17-February-2021.pub-_1_.pdf
research/verification/2026-09-12/event-list/asp3/r05_web_archive_org.json,,,,500,2021-04-15T14:47:28+00:00,wsdc_calendar.events,7,,snap_20260913T052203Z_cd67a4f2a5bd,wsdc_calendar,parsed,247d215dbe4012b981b7bc31,20210415144728,https://www.worldsdc.com/event-calendar/
archive_query:b332d617f0132533a5fffcbb0cc35776bc44b20e9720f75f849e41836d750b32,B5UAVCC7PH2TTWS6EIS5RYI3COG2TLXO,,,,,wsdc_calendar.events,,,,wsdc_calendar,pending,24eaae0d5fea3221affb5a0a,20250512152735,https://www.worldsdc.com/events/
research/verification/2026-09-12/event-list/asp/r00_web_archive_org.json,5KJON3IZTPFGQOWGC6B2AZ6TCX7KVQSX,,,149,2015-09-29T07:11:39+00:00,swingdancecouncil.events,2,,snap_20260913T050933Z_8684c9031883,swingdancecouncil,parsed,2574b8eb76239a1bc39819c7,20150929071139,http://swingdancecouncil.com:80/ActiveServerPages/UpcomingEvents.asp
snap_20260913T052900Z_00e38790862b,,,,26,2026-09-13T05:34:04.110695+00:00,wsdc_newsletter.events,6,,snap_20260913T053404Z_622d98a01fec,wsdc_newsletter,parsed,2722818d1b9f0149372dd827,,http://www.worldsdc.com/wp-content/uploads/2022/06/WSDC-Newsleter-Vol-22-June-2022.pdf
