evidence_json,kind,owner_id,owner_kind,snapshot_id,subject_id,subject_kind,suggested_override,summary
"{""candidates"":[],""printed_name"":""CHICAGO CLASSIC (NASDE)"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053010Z_478d7ddb5edd,2019-03:chicago-classic-nasde,history_listing,"CHICAGO CLASSIC (NASDE),listed-chicago-classic-nasde,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""MID ATLANTIC DANCE JAM - MADJAM (NASDE)"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053010Z_478d7ddb5edd,2019-03:mid-atlantic-dance-jam-madjam-nasde,history_listing,"MID ATLANTIC DANCE JAM - MADJAM (NASDE),listed-mid-atlantic-dance-jam-madjam-nasde,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Westie Swing Thing"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053253Z_e19d60bb1ba4,2019-03:westie-swing-thing,history_listing,"Westie Swing Thing,listed-westie-swing-thing,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""AISA WEST COAST SWING OPEN"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053000Z_11d8e6dbdaab,2019-04:aisa-west-coast-swing-open,history_listing,"AISA WEST COAST SWING OPEN,listed-aisa-west-coast-swing-open,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""CITY OF ANGELS SWING"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053000Z_11d8e6dbdaab,2019-04:city-of-angels-swing,history_listing,"CITY OF ANGELS SWING,listed-city-of-angels-swing,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""EASTER SWING (NASDE)"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053000Z_11d8e6dbdaab,2019-04:easter-swing-nasde,history_listing,"EASTER SWING (NASDE),listed-easter-swing-nasde,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Swing"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053243Z_3347ef6a3141,2019-04:swing,history_listing,"Swing,listed-swing,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""TAHITIAN OPEN WEST COAST SWING"",""year"":2019}",series_alias,2019,history_year,snap_20260913T053000Z_11d8e6dbdaab,2019-04:tahitian-open-west-coast-swing,history_listing,"TAHITIAN OPEN WEST COAST SWING,listed-tahitian-open-west-coast-swing,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Tahitian Open West Coast Swing (Cancelled due to Coronavirus)"",""year"":2019}",series_alias,2019,history_year,snap_20260913T052610Z_9b5425eda664,2019-04:tahitian-open-west-coast-swing-cancelled-due-to-coronavirus,history_listing,"Tahitian Open West Coast Swing (Cancelled due to Coronavirus),listed-tahitian-open-west-coast-swing-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Twin Cities Rebels Swing Dance Club"",""year"":2019}",series_alias,2019,history_year,snap_20260913T052610Z_9b5425eda664,2019-04:twin-cities-rebels-swing-dance-club,history_listing,"Twin Cities Rebels Swing Dance Club,listed-twin-cities-rebels-swing-dance-club,wsdc_calendar,review series identity",Historical listing needs a reviewed series alias
