all_ever_ok_round_watches,all_never_checked_round_watches,all_round_watches,fetched_round_urls,fetched_without_current_observation,indexed_source_events,latest_parse_not_ok,listed_round_urls,mapped_events_with_contests,mapped_events_without_contests,mapped_source_events,never_checked_round_urls,published_contests,published_entries,published_placements,published_rounds,round_watches_without_parent,source,unfetched_round_urls,unmapped_source_events
447,0,447,442,0,72,0,442,72,0,72,0,1576,42889,10637,2268,5,eepro,0,0
908,4482,5390,896,0,383,0,5378,52,267,319,4482,451,23579,4224,906,12,scoringdance,4482,64
,,,0,0,0,0,0,13,0,13,0,285,9875,3144,451,,wdr,0,0
