finding_id,kind,subject_id,summary,evidence_json
6e92650a2a5bb7a8,missing_identity,2026-08-desert-city-swing/intermediate-jj/prelim,Redacted WDR entrant without a bib omitted,"{""round_id"":""2026-08-desert-city-swing/intermediate-jj/prelim"",""row_number"":70,""snapshot_id"":""snap_20260909T150710Z_5bd1212b17d5""}"
9955f2d4a4f306ee,parse_failure,182ca2e94cc7bfb6,expected scoring.dance links are missing,"{""snapshot_id"":""snap_20260911T043231Z_0859efa5a48f""}"
