denominator_valid,detail_rows,detail_to_entry_ratio,entry_count,judge_count,mark_matrix_coverage,mark_matrix_denominator,marks,round_id,round_type,source
True,9,0.5,18,8,0.875,72,63,2024-08-german-open/masters-strictly/final,final,scoringdance
True,15,0.5,30,8,0.875,120,105,2024-08-german-open/newcomer-jj/final,final,scoringdance
True,157,1.0,157,11,0.454545,1727,785,2024-08-german-open/newcomer-jj/prelim,prelim,scoringdance
True,64,0.914286,70,11,0.497159,704,350,2024-08-german-open/newcomer-jj/semifinal,semifinal,scoringdance
True,115,0.905512,127,11,0.498024,1265,630,2024-08-german-open/novice-jj-quarter/quarterfinal,quarterfinal,scoringdance
True,16,0.5,32,8,0.875,128,112,2024-08-german-open/novice-jj/final,final,scoringdance
True,215,1.0,215,11,0.454545,2365,1075,2024-08-german-open/novice-jj/prelim,prelim,scoringdance
True,56,0.965517,58,11,0.470779,616,290,2024-08-german-open/novice-jj/semifinal,semifinal,scoringdance
True,15,0.5,30,8,0.875,120,105,2024-08-german-open/novice-strictly/final,final,scoringdance
True,62,1.0,62,6,0.833333,372,310,2024-08-german-open/novice-strictly/prelim,prelim,scoringdance
True,31,1.0,31,6,0.833333,186,155,2024-08-german-open/novice-strictly/semifinal,semifinal,scoringdance
True,12,0.5,24,8,0.875,96,84,2024-08-german-open/open-strictly/final,final,scoringdance
True,31,1.0,31,8,0.875,248,217,2024-08-german-open/open-strictly/prelim,prelim,scoringdance
True,15,0.5,30,8,0.875,120,105,2024-08-german-open/sophisticated-jj/final,final,scoringdance
True,62,0.953846,65,11,0.472141,682,322,2024-08-german-open/sophisticated-jj/prelim,prelim,scoringdance
True,10,0.5,20,8,0.875,80,70,2024-08-german-open/sophisticated-strictly/final,final,scoringdance
True,16,0.5,32,6,0.833333,96,80,2024-08-swingtime-denver/advanced-jj/final,final,scoringdance
True,97,0.989796,98,12,0.416667,1164,485,2024-08-swingtime-denver/advanced-jj/prelim,prelim,scoringdance
True,50,1.0,50,12,0.416667,600,250,2024-08-swingtime-denver/advanced-jj/semifinal,semifinal,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-08-swingtime-denver/allstar-jj/final,final,scoringdance
True,52,0.896552,58,7,0.46978,364,171,2024-08-swingtime-denver/allstar-jj/prelim,prelim,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-08-swingtime-denver/allstar-strictly/final,final,scoringdance
True,20,0.952381,21,6,0.833333,120,100,2024-08-swingtime-denver/allstar-strictly/prelim,prelim,scoringdance
False,11,0.5,22,0,,0,0,2024-08-swingtime-denver/champion-jj/final,final,scoringdance
True,37,1.0,37,7,0.428571,259,111,2024-08-swingtime-denver/champion-jj/prelim,prelim,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-08-swingtime-denver/champion-strictly/final,final,scoringdance
True,21,1.0,21,6,0.833333,126,105,2024-08-swingtime-denver/champion-strictly/prelim,prelim,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-08-swingtime-denver/country-invitational-jj/final,final,scoringdance
True,30,1.0,30,5,1.0,150,150,2024-08-swingtime-denver/country-invitational-jj/prelim,prelim,scoringdance
True,10,0.555556,18,5,0.8,50,40,2024-08-swingtime-denver/country-jj-all-american/final,final,scoringdance
True,55,0.846154,65,5,0.869091,275,239,2024-08-swingtime-denver/country-jj-all-american/prelim,prelim,scoringdance
True,6,0.5,12,7,0.857143,42,36,2024-08-swingtime-denver/country-jj-high/final,final,scoringdance
True,28,0.823529,34,7,0.428571,196,84,2024-08-swingtime-denver/country-jj-high/prelim,prelim,scoringdance
True,8,0.5,16,7,0.857143,56,48,2024-08-swingtime-denver/country-jj-low/final,final,scoringdance
True,37,0.948718,39,7,0.42471,259,110,2024-08-swingtime-denver/country-jj-low/semifinal,semifinal,scoringdance
True,7,0.5,14,7,0.857143,49,42,2024-08-swingtime-denver/country-strictly-high/final,final,scoringdance
True,13,1.0,13,7,0.857143,91,78,2024-08-swingtime-denver/country-strictly-high/prelim,prelim,scoringdance
True,6,0.5,12,7,0.857143,42,36,2024-08-swingtime-denver/country-strictly-low/final,final,scoringdance
True,13,0.928571,14,7,0.857143,91,78,2024-08-swingtime-denver/country-strictly-low/prelim,prelim,scoringdance
True,15,0.5,30,6,0.833333,90,75,2024-08-swingtime-denver/intermediate-jj/final,final,scoringdance
True,97,1.0,97,12,0.416667,1164,485,2024-08-swingtime-denver/intermediate-jj/prelim,prelim,scoringdance
True,50,1.0,50,12,0.416667,600,250,2024-08-swingtime-denver/intermediate-jj/semifinal,semifinal,scoringdance
True,15,0.5,30,6,0.833333,90,75,2024-08-swingtime-denver/intermediate-strictly-advanced/final,final,scoringdance
True,41,1.0,41,6,0.833333,246,205,2024-08-swingtime-denver/intermediate-strictly-advanced/prelim,prelim,scoringdance
True,15,0.535714,28,6,0.833333,90,75,2024-08-swingtime-denver/jj-all-american/final,final,scoringdance
True,166,0.892473,186,6,0.876506,996,873,2024-08-swingtime-denver/jj-all-american/prelim,prelim,scoringdance
True,12,1.0,12,4,0.75,48,36,2024-08-swingtime-denver/jj-line-dance-high/final,final,scoringdance
True,4,1.0,4,4,0.75,16,12,2024-08-swingtime-denver/jj-line-dance-low/final,final,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-08-swingtime-denver/masters-masters-choice/final,final,scoringdance
True,17,1.0,17,6,0.833333,102,85,2024-08-swingtime-denver/masters-masters-choice/prelim,prelim,scoringdance
True,1,0.5,2,8,0.875,8,7,2024-08-swingtime-denver/masters-masters-routines/final,final,scoringdance
True,11,0.5,22,6,0.833333,66,55,2024-08-swingtime-denver/masters-novice-jj/final,final,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-08-swingtime-denver/masters-open-jj/final,final,scoringdance
True,43,1.0,43,7,0.428571,301,129,2024-08-swingtime-denver/masters-open-jj/prelim,prelim,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-08-swingtime-denver/newcomer-jj/final,final,scoringdance
True,60,0.923077,65,12,0.411111,720,296,2024-08-swingtime-denver/newcomer-jj/prelim,prelim,scoringdance
True,108,1.0,108,12,0.416667,1296,540,2024-08-swingtime-denver/novice-jj-quarter/quarterfinal,quarterfinal,scoringdance
True,16,0.5,32,6,0.833333,96,80,2024-08-swingtime-denver/novice-jj/final,final,scoringdance
True,175,0.994318,176,12,0.416667,2100,875,2024-08-swingtime-denver/novice-jj/prelim,prelim,scoringdance
True,48,1.0,48,12,0.416667,576,240,2024-08-swingtime-denver/novice-jj/semifinal,semifinal,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-08-swingtime-denver/novice-strictly/final,final,scoringdance
True,22,1.0,22,6,0.833333,132,110,2024-08-swingtime-denver/novice-strictly/prelim,prelim,scoringdance
True,4,0.571429,7,8,0.875,32,28,2024-08-swingtime-denver/pro-am/final,final,scoringdance
True,5,0.5,10,8,0.875,40,35,2024-08-swingtime-denver/rising-star/final,final,scoringdance
True,15,0.5,30,6,0.833333,90,75,2024-08-swingtime-denver/sophisticated-jj/final,final,scoringdance
True,67,0.985294,68,7,0.428571,469,201,2024-08-swingtime-denver/sophisticated-jj/prelim,prelim,scoringdance
True,10,0.5,20,6,0.833333,60,50,2024-09-midland-swing-open/advanced-jj/final,final,scoringdance
True,48,0.96,50,7,0.446429,336,150,2024-09-midland-swing-open/advanced-jj/prelim,prelim,scoringdance
True,8,0.5,16,6,0.833333,48,40,2024-09-midland-swing-open/allstar-jj/final,final,scoringdance
True,23,0.884615,26,7,0.465839,161,75,2024-09-midland-swing-open/allstar-jj/prelim,prelim,scoringdance
True,5,0.5,10,6,0.833333,30,25,2024-09-midland-swing-open/champion-jj/final,final,scoringdance
True,15,0.5,30,6,0.833333,90,75,2024-09-midland-swing-open/intermediate-jj/final,final,scoringdance
True,85,1.0,85,7,0.428571,595,255,2024-09-midland-swing-open/intermediate-jj/prelim,prelim,scoringdance
True,50,0.925926,54,7,0.462857,350,162,2024-09-midland-swing-open/intermediate-jj/semifinal,semifinal,scoringdance
True,9,0.5,18,6,0.833333,54,45,2024-09-midland-swing-open/intermediate-strictly/final,final,scoringdance
True,20,1.0,20,6,0.833333,120,100,2024-09-midland-swing-open/intermediate-strictly/prelim,prelim,scoringdance
True,14,0.5,28,6,0.833333,84,70,2024-09-midland-swing-open/masters-jj/final,final,scoringdance
True,44,1.0,44,7,0.428571,308,132,2024-09-midland-swing-open/masters-jj/prelim,prelim,scoringdance
