watch_id,source_ref,url,notes,last_checked_at,next_check_at
62de3c690b57fa19,wsdc:22397,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:12:03.782351+00:00,2026-09-10T14:53:17.738805+00:00
5202da75a77125b1,wsdc:22522,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:11:13.660306+00:00,2026-09-10T14:53:17.738805+00:00
46f6aadf9f8c317a,wsdc:22526,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:10:28.702902+00:00,2026-09-10T14:53:17.738805+00:00
3814a0f4bff3c171,wsdc:22710,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:02:37.916933+00:00,2026-09-11T04:19:58.467025+00:00
e4b21d295cd21c94,wsdc:22837,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:06:48.314600+00:00,2026-09-11T04:19:58.467025+00:00
57c37b7cffdd32d2,wsdc:22906,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:11:38.700678+00:00,2026-09-10T14:53:17.738805+00:00
31288b3424799cd8,wsdc:22924,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:09:38.524943+00:00,2026-09-10T14:53:17.738805+00:00
6a2a3142f46e4c3b,wsdc:23320,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:12:28.754836+00:00,2026-09-10T14:53:17.738805+00:00
06d6b55ac2bee72d,wsdc:23415,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:01:22.807064+00:00,2026-09-11T04:19:58.467025+00:00
ce0067bcd9e235f7,wsdc:23589,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:06:23.268141+00:00,2026-09-11T04:19:58.467025+00:00
d6c96bbfca19360f,wsdc:23992,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:06:38.303279+00:00,2026-09-11T11:06:38.303279+00:00
4117c52b05cc0efe,wsdc:24000,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:02:47.935107+00:00,2026-09-11T04:19:58.467025+00:00
0d1ada3ea7c400f6,wsdc:24012,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:01:37.831471+00:00,2026-09-11T04:19:58.467025+00:00
6136e8198fc6f746,wsdc:24235,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:03:07.973861+00:00,2026-09-11T04:19:58.467025+00:00
c190708e0e3a2d12,wsdc:24255,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:05:38.297913+00:00,2026-09-11T04:19:58.467025+00:00
4aa9b7e853665272,wsdc:24402,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:10:53.625726+00:00,2026-09-10T14:53:17.738805+00:00
70a7f59383f58941,wsdc:24457,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:12:48.797604+00:00,2026-09-10T14:53:17.738805+00:00
6289e512d28dbd17,wsdc:24514,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:11:58.714957+00:00,2026-09-10T14:53:17.738805+00:00
30d94d48f1df0e5c,wsdc:24871,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:09:33.518776+00:00,2026-09-10T14:53:17.738805+00:00
11af151d879bed0b,wsdc:24913,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:08:23.421585+00:00,2026-09-10T14:53:17.738805+00:00
b98c9b9d864268df,wsdc:24944,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:05:23.204046+00:00,2026-09-11T04:19:58.467025+00:00
710392a2da572718,wsdc:24973,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:12:58.803277+00:00,2026-09-10T14:53:17.738805+00:00
1603bf32a13c2928,wsdc:25070,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:08:43.445713+00:00,2026-09-10T14:53:17.738805+00:00
2482272c03325cb1,wsdc:25143,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:02:07.876880+00:00,2026-09-11T04:19:58.467025+00:00
4d4cf989e04139e3,wsdc:25190,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:11:08.653846+00:00,2026-09-10T14:53:17.738805+00:00
4d17e01c707ac3da,wsdc:25367,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:02:57.948779+00:00,2026-09-11T04:19:58.467025+00:00
1da5850dd45d65c9,wsdc:25372,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:01:57.856433+00:00,2026-09-11T11:01:57.856433+00:00
25f5064bc2ae8315,wsdc:25382,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:02:12.878818+00:00,2026-09-11T04:19:58.467025+00:00
05dbb7d6cce04c3a,wsdc:25450,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:07:28.372158+00:00,2026-09-10T14:53:17.738805+00:00
118b7f75a3bfdcbd,wsdc:25472,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-10T11:08:18.399211+00:00,2026-09-11T04:20:01.817709+00:00
3f332f29cf4b53f4,wsdc:25755,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-10T11:10:18.577807+00:00,2026-09-11T04:20:01.817709+00:00
0685cb894ffff371,wsdc:25766,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:07:33.478626+00:00,2026-09-10T14:53:17.738805+00:00
0bf554711e591049,wsdc:25864,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:07:48.382379+00:00,2026-09-10T14:53:17.738805+00:00
49b087f0123318b4,wsdc:25866,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:10:43.624029+00:00,2026-09-10T14:53:17.738805+00:00
a1e4c8b4474c36b8,wsdc:26049,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:04:38.088076+00:00,2026-09-11T04:19:58.467025+00:00
6332e9beafb7a36d,wsdc:26084,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-10T11:12:08.747882+00:00,2026-09-11T04:20:01.817709+00:00
43ea92b262316021,wsdc:26244,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-desert-city-swing,2026-09-10T11:10:23.603660+00:00,2026-09-11T04:20:01.817709+00:00
65982aba31d99b3f,wsdc:26316,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:03:12.975353+00:00,2026-09-11T04:19:58.467025+00:00
ca26b31037645399,wsdc:26648,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:06:18.264630+00:00,2026-09-11T04:19:58.467025+00:00
6ec5e58391f9cd05,wsdc:26716,https://points.worldsdc.com/lookup2020/find,confirmation:2027-04-city-of-angels,2026-09-10T11:12:38.763756+00:00,2026-09-10T14:53:17.738805+00:00
c7cc1af9d886fda8,wsdc:26739,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:06:03.290286+00:00,2026-09-11T04:19:58.467025+00:00
c895462f75c7c805,wsdc:26812,https://points.worldsdc.com/lookup2020/find,confirmation:2026-08-bristol-swing-fiesta,2026-09-10T11:06:08.300736+00:00,2026-09-11T04:19:58.467025+00:00
