bib_missing,confirmed,entries,mixed_name_signal,name_missing,possible,probable,published_wsdc_id_missing,role,source,unmatched
279,0,6053,6043,0,5220,0,6053,couple,eepro,833
190,1753,18536,1008,0,441,8450,8333,follower,eepro,7892
498,1710,18300,3053,0,735,8468,8122,leader,eepro,7387
1358,8906,11704,0,0,53,398,2400,follower,scoringdance,2347
596,9346,11875,0,0,71,411,2118,leader,scoringdance,2047
0,0,1042,867,175,793,0,1042,couple,wdr,249
1374,546,4915,0,633,73,1817,2552,follower,wdr,2479
1272,502,3918,0,341,93,1418,1998,leader,wdr,1905
