candidate_series,printed_name,snapshot_ids,suggested_override,years
[],Ceroc Champs 2025,"[""snap_20260910T053633Z_bf409aa9f9db""]","Ceroc Champs 2025,listed-ceroc-champs,scoringdance,review series identity",[2025]
[],Charlotte Westie Fest (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Charlotte Westie Fest (Cancelled due to Covid-19),listed-charlotte-westie-fest-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],Chicago Classic (NASDE),"[""snap_20260913T053435Z_ed5072b4dea1""]","Chicago Classic (NASDE),listed-chicago-classic-nasde,wsdc_newsletter,review series identity",[2024]
[],Chicago Classic (Postponed due to Coronavirus),"[""snap_20260913T052653Z_4309094e8fb4""]","Chicago Classic (Postponed due to Coronavirus),listed-chicago-classic-postponed-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],Chicagoland Country and Swing Dance Festival (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Chicagoland Country and Swing Dance Festival (Cancelled due to Covid-19),listed-chicagoland-country-and-swing-dance-festival-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2020]
[],Chicagoland Country and Swing Dance Festival (Unconfirmed),"[""snap_20260913T055430Z_17be191620ce""]","Chicagoland Country and Swing Dance Festival (Unconfirmed),listed-chicagoland-country-and-swing-dance-festival-unconfirmed,wsdc_calendar,review series identity",[2025]
[],Chicagoland Dance Festival (Unconfirmed),"[""snap_20260913T055220Z_d77aed35c78d""]","Chicagoland Dance Festival (Unconfirmed),listed-chicagoland-dance-festival-unconfirmed,wsdc_calendar,review series identity",[2024]
[],Christmas In Dixie,"[""snap_20260913T050553Z_63f77fe501d5""]","Christmas In Dixie,listed-christmas-in-dixie,swingdancecouncil,review series identity","[2011, 2012]"
[],City of Angels (Cancelled due to Coronavirus),"[""snap_20260913T052653Z_4309094e8fb4""]","City of Angels (Cancelled due to Coronavirus),listed-city-of-angels-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],City of Angels Swing,"[""snap_20260913T050613Z_a7106c385749"", ""snap_20260913T050713Z_532a13011352"", ""snap_20260913T050724Z_6ddaacedd7ed"", ""snap_20260913T050803Z_89757c41ead1"", ""snap_20260913T051023Z_de41000bfa60"", ""snap_20260913T051244Z_a3c08b0b73ee"", ""snap_20260913T052054Z_f2004ad7080a""]","City of Angels Swing,listed-city-of-angels-swing,swingdancecouncil,review series identity","[2012, 2013, 2014, 2015, 2016, 2017, 2021]"
[],City of Angels Swing 2024,"[""snap_20260910T060403Z_ad66431dc25c""]","City of Angels Swing 2024,listed-city-of-angels-swing,scoringdance,review series identity",[2024]
[],City of Angels Swing( Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","City of Angels Swing( Cancelled due to Covid-19),listed-city-of-angels-swing-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],Cologne Swing Weekend 2022,"[""snap_20260910T063423Z_613bca345f94""]","Cologne Swing Weekend 2022,listed-cologne-swing-weekend,scoringdance,review series identity",[2022]
[],Cologne Swing Weekend 2023,"[""snap_20260910T061258Z_1482ab8d7818""]","Cologne Swing Weekend 2023,listed-cologne-swing-weekend,scoringdance,review series identity",[2023]
[],Cologne Zouk Festival,"[""snap_20260910T032911Z_34e948f7fea1""]","Cologne Zouk Festival,listed-cologne-zouk-festival,scoringdance,review series identity",[2018]
[],Colorado Country Classic (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Colorado Country Classic (Cancelled due to Covid-19),listed-colorado-country-classic-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2020]
[],Colorado Country Classic (Unconfirmed),"[""snap_20260913T055430Z_17be191620ce""]","Colorado Country Classic (Unconfirmed),listed-colorado-country-classic-unconfirmed,wsdc_calendar,review series identity",[2025]
[],Copenhagen Bachata Congress 2024,"[""snap_20260910T053211Z_415eedc2f263""]","Copenhagen Bachata Congress 2024,listed-copenhagen-bachata-congress,scoringdance,review series identity",[2024]
"[""wsdc-334"", ""wsdc-39""]",Countdown Swing Boston,"[""snap_20260909T150512Z_694f97493af0"", ""snap_20260913T052653Z_4309094e8fb4"", ""snap_20260913T052753Z_9fefc779c3b2"", ""snap_20260913T052844Z_b95ece79a3ac"", ""snap_20260913T055411Z_037bc2fb7478""]","Countdown Swing Boston,listed-countdown-swing-boston,wsdc_calendar,review series identity","[2020, 2021, 2022, 2023, 2024, 2025, 2026]"
[],Countdown Swing Boston (Unconfirmed),"[""snap_20260913T055411Z_037bc2fb7478""]","Countdown Swing Boston (Unconfirmed),listed-countdown-swing-boston-unconfirmed,wsdc_calendar,review series identity",[2024]
[],Country Couver 2025,"[""snap_20260910T060804Z_76e77086d3ed""]","Country Couver 2025,listed-country-couver,scoringdance,review series identity",[2025]
[],CozySwing 2018,"[""snap_20260910T053314Z_138de2f6f759""]","CozySwing 2018,listed-cozyswing,scoringdance,review series identity",[2018]
[],D-Townswing (Cancelled due to Coronaviris),"[""snap_20260913T052653Z_4309094e8fb4""]","D-Townswing (Cancelled due to Coronaviris),listed-d-townswing-cancelled-due-to-coronaviris,wsdc_calendar,review series identity",[2020]
[],D-Townswing (Cancelleld due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","D-Townswing (Cancelleld due to Covid-19),listed-d-townswing-cancelleld-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],DC Swing eXperience (DCSX) (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","DC Swing eXperience (DCSX) (Cancelled due to Covid-19),listed-dc-swing-experience-dcsx-cancelled-due-to-covid-19,wsdc_calendar,review series identity","[2020, 2021]"
[],DCSX (DC Swing eXperience),"[""snap_20260913T052744Z_6206c331a747""]","DCSX (DC Swing eXperience),listed-dcsx-dc-swing-experience,wsdc_calendar,review series identity",[2024]
[],DCSX (DC Swing eXperience) 2023,"[""snap_20260913T052744Z_6206c331a747""]","DCSX (DC Swing eXperience) 2023,listed-dcsx-dc-swing-experience,wsdc_calendar,review series identity",[2023]
[],DFW proAMjam,"[""snap_20260913T050633Z_04b39eb0707f"", ""snap_20260913T050724Z_6ddaacedd7ed"", ""snap_20260913T050813Z_f30944bfb2a3""]","DFW proAMjam,listed-dfw-proamjam,swingdancecouncil,review series identity","[2012, 2014, 2015]"
[],Dance Camp Chicago (Cancelled due to Covid 19),"[""snap_20260913T052653Z_4309094e8fb4""]","Dance Camp Chicago (Cancelled due to Covid 19),listed-dance-camp-chicago-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],Dance Mardi Gras (Unconfirmed),"[""snap_20260913T055220Z_d77aed35c78d""]","Dance Mardi Gras (Unconfirmed),listed-dance-mardi-gras-unconfirmed,wsdc_calendar,review series identity",[2024]
[],Dance N Play (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Dance N Play (Cancelled due to Covid-19),listed-dance-n-play-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2022]
[],Dance N Play (Canclled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Dance N Play (Canclled due to Covid-19),listed-dance-n-play-canclled-due-to-covid-19,wsdc_calendar,review series identity",[2020]
[],Dance N Play (Unconfirmed),"[""snap_20260913T055430Z_17be191620ce""]","Dance N Play (Unconfirmed),listed-dance-n-play-unconfirmed,wsdc_calendar,review series identity",[2025]
[],Dance N Play WCS Event,"[""snap_20260913T050724Z_6ddaacedd7ed""]","Dance N Play WCS Event,listed-dance-n-play-wcs-event,swingdancecouncil,review series identity",[2014]
[],Dave Moldover,"[""snap_20260913T051734Z_2512163ed68e""]","Dave Moldover,listed-dave-moldover,wsdc_calendar,review series identity",[2020]
[],Derby City Swing (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Derby City Swing (Cancelled due to Covid-19),listed-derby-city-swing-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2022]
[],Desert City Swing (Unconfirmed),"[""snap_20260913T055220Z_d77aed35c78d""]","Desert City Swing (Unconfirmed),listed-desert-city-swing-unconfirmed,wsdc_calendar,review series identity",[2024]
[],Detonation Dance (Cancelled due to Coronavirus),"[""snap_20260913T052653Z_4309094e8fb4""]","Detonation Dance (Cancelled due to Coronavirus),listed-detonation-dance-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],Disco America,"[""snap_20260909T150512Z_694f97493af0""]","Disco America,listed-disco-america,eepro,review series identity","[2024, 2026]"
[],Dutch Open 2023,"[""snap_20260910T054148Z_d7e4d3f9ec1e""]","Dutch Open 2023,listed-dutch-open,scoringdance,review series identity",[2023]
[],Dutch Open 2024,"[""snap_20260910T053751Z_c459d8f2a31f""]","Dutch Open 2024,listed-dutch-open,scoringdance,review series identity",[2024]
[],Dutch Open 2025,"[""snap_20260910T063502Z_c4783647af7f""]","Dutch Open 2025,listed-dutch-open,scoringdance,review series identity",[2025]
[],Dutch Open 2026,"[""snap_20260910T060733Z_a87b2f4501f9""]","Dutch Open 2026,listed-dutch-open,scoringdance,review series identity",[2026]
[],Dutch Open Championships,"[""snap_20260913T050553Z_63f77fe501d5"", ""snap_20260913T050653Z_5cf4ae4e6585""]","Dutch Open Championships,listed-dutch-open-championships,swingdancecouncil,review series identity","[2011, 2012]"
[],Dutch Open West Coast Swing (Cancelled due to Coronavirus),"[""snap_20260913T052653Z_4309094e8fb4""]","Dutch Open West Coast Swing (Cancelled due to Coronavirus),listed-dutch-open-west-coast-swing-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],Dutch Open West Coast Swing (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Dutch Open West Coast Swing (Cancelled due to Covid-19),listed-dutch-open-west-coast-swing-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],Dutch Open West Coast Swing (Cancelleld due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Dutch Open West Coast Swing (Cancelleld due to Covid-19),listed-dutch-open-west-coast-swing-cancelleld-due-to-covid-19,wsdc_calendar,review series identity",[2022]
[],EASTER SWING (NASDE),"[""snap_20260913T052930Z_9938b86a7094"", ""snap_20260913T052940Z_0177184cf9eb"", ""snap_20260913T053000Z_11d8e6dbdaab""]","EASTER SWING (NASDE),listed-easter-swing-nasde,wsdc_newsletter,review series identity","[2017, 2018, 2019]"
[],EMERALD CITY SWING,"[""snap_20260913T053243Z_3347ef6a3141""]","EMERALD CITY SWING,listed-emerald-city-swing,wsdc_newsletter,review series identity",[2018]
[],Easter Swing (Cancelled due to Coronavirus),"[""snap_20260913T052653Z_4309094e8fb4""]","Easter Swing (Cancelled due to Coronavirus),listed-easter-swing-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],Easter Swing (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Easter Swing (Cancelled due to Covid-19),listed-easter-swing-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],Easter Swing (NASDE),"[""snap_20260913T053450Z_ce3c79f4aa99""]","Easter Swing (NASDE),listed-easter-swing-nasde,wsdc_newsletter,review series identity",[2023]
[],Easterns Dance Challenge,"[""snap_20260913T050503Z_1dc9d7a88150""]","Easterns Dance Challenge,listed-easterns-dance-challenge,swingdancecouncil,review series identity",[2010]
[],European Swing Challenge (Cancelled due to Covid-19),"[""snap_20260913T052314Z_cd0f43b0da24"", ""snap_20260913T052653Z_4309094e8fb4""]","European Swing Challenge (Cancelled due to Covid-19),listed-european-swing-challenge-cancelled-due-to-covid-19,wsdc_calendar,review series identity","[2020, 2021]"
[],European Swing Challenge (Unconfirmed),"[""snap_20260913T052844Z_b95ece79a3ac"", ""snap_20260913T055320Z_474ef226d4a5""]","European Swing Challenge (Unconfirmed),listed-european-swing-challenge-unconfirmed,wsdc_calendar,review series identity","[2023, 2024]"
[],Extravadanza Bachata Congress 2025,"[""snap_20260910T053512Z_00ad7cc782ab""]","Extravadanza Bachata Congress 2025,listed-extravadanza-bachata-congress,scoringdance,review series identity",[2025]
[],FLOOR PLAY NEW YEARS SWING VACATION,"[""snap_20260913T052950Z_43d0406b9025"", ""snap_20260913T053204Z_ea0a1cfa6f68"", ""snap_20260913T053253Z_e19d60bb1ba4""]","FLOOR PLAY NEW YEARS SWING VACATION,listed-floor-play-new-years-swing-vacation,wsdc_newsletter,review series identity","[2018, 2019]"
[],FORIDA DANCE MAGIC,"[""snap_20260913T052919Z_08ef5aac2666"", ""snap_20260913T053153Z_b3d4d7e4936b"", ""snap_20260913T053243Z_3347ef6a3141""]","FORIDA DANCE MAGIC,listed-forida-dance-magic,wsdc_newsletter,review series identity","[2017, 2018, 2019]"
[],"Fall, Fall in Swing (Cancelled due to Coronavirus)","[""snap_20260913T052653Z_4309094e8fb4""]","Fall, Fall in Swing (Cancelled due to Coronavirus),listed-fall-fall-in-swing-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],Festival City Swing Edinburgh 2025,"[""snap_20260910T053404Z_af947048bc14""]","Festival City Swing Edinburgh 2025,listed-festival-city-swing-edinburgh,scoringdance,review series identity",[2025]
[],Festival City Swing Edinburgh 2026,"[""snap_20260910T060716Z_f1624b69a3b1""]","Festival City Swing Edinburgh 2026,listed-festival-city-swing-edinburgh,scoringdance,review series identity",[2026]
[],Finnfest (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Finnfest (Cancelled due to Covid-19),listed-finnfest-cancelled-due-to-covid-19,wsdc_calendar,review series identity","[2020, 2021]"
[],Finnfest (Unconfirmed),"[""snap_20260913T055220Z_d77aed35c78d""]","Finnfest (Unconfirmed),listed-finnfest-unconfirmed,wsdc_calendar,review series identity",[2024]
[],Finnish Open WCS,"[""snap_20260913T050813Z_f30944bfb2a3""]","Finnish Open WCS,listed-finnish-open-wcs,swingdancecouncil,review series identity",[2015]
[],First Night Boston,"[""snap_20260913T050713Z_532a13011352"", ""snap_20260913T050724Z_6ddaacedd7ed""]","First Night Boston,listed-first-night-boston,swingdancecouncil,review series identity",[2013]
[],Floor Play New Years Swing Vacation,"[""snap_20260913T053414Z_e2920d5d80be""]","Floor Play New Years Swing Vacation,listed-floor-play-new-years-swing-vacation,wsdc_newsletter,review series identity",[2023]
[],Floor Play Swing Vacation (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Floor Play Swing Vacation (Cancelled due to Covid-19),listed-floor-play-swing-vacation-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],Floor Play Swing Vacation (Unconfirmed),"[""snap_20260913T055241Z_d374c58b5248""]","Floor Play Swing Vacation (Unconfirmed),listed-floor-play-swing-vacation-unconfirmed,wsdc_calendar,review series identity",[2024]
[],FloorPlay Orlando Swing Vacation,"[""snap_20260913T050523Z_599faad414ce"", ""snap_20260913T050603Z_94f4a330dd97"", ""snap_20260913T050713Z_532a13011352"", ""snap_20260913T050724Z_6ddaacedd7ed""]","FloorPlay Orlando Swing Vacation,listed-floorplay-orlando-swing-vacation,swingdancecouncil,review series identity","[2011, 2012, 2013, 2014]"
[],Floorplays New Years Swing Vacation,"[""snap_20260913T050433Z_b749ee48056f"", ""snap_20260913T050503Z_1dc9d7a88150""]","Floorplays New Years Swing Vacation,listed-floorplays-new-years-swing-vacation,swingdancecouncil,review series identity","[2010, 2011]"
[],Florida Dance Magic (Cancelled due to Coronavirus),"[""snap_20260913T052653Z_4309094e8fb4""]","Florida Dance Magic (Cancelled due to Coronavirus),listed-florida-dance-magic-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],Florida Dance Magic (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Florida Dance Magic (Cancelled due to Covid-19),listed-florida-dance-magic-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],Florida Dance Magic (On Hiatus in 2023),"[""snap_20260913T052844Z_b95ece79a3ac""]","Florida Dance Magic (On Hiatus in 2023),listed-florida-dance-magic-in,wsdc_calendar,review series identity",[2023]
[],Florida Wesite Fest,"[""snap_20260913T052919Z_08ef5aac2666""]","Florida Wesite Fest,listed-florida-wesite-fest,wsdc_newsletter,review series identity",[2017]
[],Flow Festival NYC,"[""snap_20260913T055430Z_17be191620ce""]","Flow Festival NYC,listed-flow-festival-nyc,wsdc_calendar,review series identity",[2026]
[],Flowstate,"[""snap_20260910T051329Z_e69cfe7b5d3d""]","Flowstate,listed-flowstate,scoringdance,review series identity",[2024]
[],Flowstate 2025,"[""snap_20260910T061042Z_2fb3aaf7878b""]","Flowstate 2025,listed-flowstate,scoringdance,review series identity",[2025]
[],Flowstate | WCS & Zouk Festival,"[""snap_20260913T055353Z_2f7c24378244""]","Flowstate | WCS & Zouk Festival,listed-flowstate-wcs-zouk-festival,wsdc_calendar,review series identity",[2024]
[],Forida Dance Magic,"[""snap_20260913T053404Z_622d98a01fec"", ""snap_20260913T053443Z_bf5de4bbd205""]","Forida Dance Magic,listed-forida-dance-magic,wsdc_newsletter,review series identity","[2022, 2024]"
[],FreZnoDance Classic,"[""snap_20260913T050503Z_1dc9d7a88150""]","FreZnoDance Classic,listed-freznodance-classic,swingdancecouncil,review series identity",[2010]
[],Freedom Swing Dance Challenge (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Freedom Swing Dance Challenge (Cancelled due to Covid-19),listed-freedom-swing-dance-challenge-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],French Connection 2025,"[""snap_20260910T060746Z_c3065c9befc0""]","French Connection 2025,listed-french-connection,scoringdance,review series identity",[2025]
[],French Connection 2026,"[""snap_20260910T060210Z_acd990521dc3""]","French Connection 2026,listed-french-connection,scoringdance,review series identity",[2026]
[],French Open 2024,"[""snap_20260910T063613Z_05dde9093ae9""]","French Open 2024,listed-french-open,scoringdance,review series identity",[2024]
[],French Open 2025,"[""snap_20260910T060323Z_23617be80b15""]","French Open 2025,listed-french-open,scoringdance,review series identity",[2025]
[],French Open 2026,"[""snap_20260910T053308Z_99c8e4d26bcd""]","French Open 2026,listed-french-open,scoringdance,review series identity",[2026]
[],French Open Disney West Coast Swing,"[""snap_20260913T050713Z_532a13011352""]","French Open Disney West Coast Swing,listed-french-open-disney-west-coast-swing,swingdancecouncil,review series identity",[2013]
[],French Open WCS (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","French Open WCS (Cancelled due to Covid-19),listed-french-open-wcs-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2020]
[],GNDC,"[""snap_20260909T150512Z_694f97493af0""]","GNDC,listed-gndc,eepro,review series identity","[2025, 2026]"
[],GPSDC ANNUAL JULY 4TH CONVENTION,"[""snap_20260913T052919Z_08ef5aac2666"", ""snap_20260913T053153Z_b3d4d7e4936b"", ""snap_20260913T053243Z_3347ef6a3141""]","GPSDC ANNUAL JULY 4TH CONVENTION,listed-gpsdc-annual-july-convention,wsdc_newsletter,review series identity","[2017, 2018, 2019]"
[],GPSDC Annual July 4th Convention,"[""snap_20260913T050503Z_1dc9d7a88150"", ""snap_20260913T050643Z_3b5c53c6d4d5"", ""snap_20260913T050713Z_532a13011352"", ""snap_20260913T050724Z_6ddaacedd7ed"", ""snap_20260913T050803Z_89757c41ead1"", ""snap_20260913T051244Z_a3c08b0b73ee"", ""snap_20260913T053404Z_622d98a01fec""]","GPSDC Annual July 4th Convention,listed-gpsdc-annual-july-convention,swingdancecouncil,review series identity","[2010, 2012, 2013, 2014, 2015, 2016, 2022]"
[],German Open Bachata Championship 2023,"[""snap_20260910T063438Z_4cba004a445c""]","German Open Bachata Championship 2023,listed-german-open-bachata-championship,scoringdance,review series identity",[2023]
[],German Open Championship 2024,"[""snap_20260910T060957Z_7fcf35900758""]","German Open Championship 2024,listed-german-open-championship,scoringdance,review series identity",[2024]
[],German Open Championships (Unconfirmed),"[""snap_20260913T055220Z_d77aed35c78d""]","German Open Championships (Unconfirmed),listed-german-open-championships-unconfirmed,wsdc_calendar,review series identity",[2024]
[],Global Grand Prix,"[""snap_20260913T053414Z_e2920d5d80be""]","Global Grand Prix,listed-global-grand-prix,wsdc_newsletter,review series identity",[2022]
[],Global Grand Prix - Swing Dance Championships (Trial),"[""snap_20260913T052744Z_6206c331a747""]","Global Grand Prix - Swing Dance Championships (Trial),listed-global-grand-prix-swing-dance-championships-trial,wsdc_calendar,review series identity",[2022]
[],Global Grand Prix - West Coast Swing Reunion (Unconfirmed),"[""snap_20260913T055241Z_d374c58b5248""]","Global Grand Prix - West Coast Swing Reunion (Unconfirmed),listed-global-grand-prix-west-coast-swing-reunion-unconfirmed,wsdc_calendar,review series identity",[2024]
[],Global Grand Prix Swing Dance Championships 2022,"[""snap_20260910T060711Z_64718517441b""]","Global Grand Prix Swing Dance Championships 2022,listed-global-grand-prix-swing-dance-championships,scoringdance,review series identity",[2022]
[],Global Grand Prix Swing Dance Championships 2023,"[""snap_20260910T051239Z_40b8b674b294""]","Global Grand Prix Swing Dance Championships 2023,listed-global-grand-prix-swing-dance-championships,scoringdance,review series identity",[2023]
[],Global Grand Prix Swing Dance Championships 2024,"[""snap_20260910T060328Z_4ec026e6b66d""]","Global Grand Prix Swing Dance Championships 2024,listed-global-grand-prix-swing-dance-championships,scoringdance,review series identity",[2024]
[],Global Grand Prix WCS 2025,"[""snap_20260910T054405Z_2e5f268f69c7""]","Global Grand Prix WCS 2025,listed-global-grand-prix-wcs,scoringdance,review series identity",[2025]
[],Go West Swing Fest (Cancelled due to Coronavirus),"[""snap_20260913T052653Z_4309094e8fb4""]","Go West Swing Fest (Cancelled due to Coronavirus),listed-go-west-swing-fest-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],Go West Swing Fest (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Go West Swing Fest (Cancelled due to Covid-19),listed-go-west-swing-fest-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2022]
[],Go West Swing Fest (Unconfirmed),"[""snap_20260913T055241Z_d374c58b5248"", ""snap_20260913T055320Z_474ef226d4a5""]","Go West Swing Fest (Unconfirmed),listed-go-west-swing-fest-unconfirmed,wsdc_calendar,review series identity",[2024]
[],Grand Party Sofia 2025,"[""snap_20260910T051259Z_bbd331989846""]","Grand Party Sofia 2025,listed-grand-party-sofia,scoringdance,review series identity",[2025]
[],Grand Party Sofia 2026,"[""snap_20260910T060900Z_06c0c3eb16fe""]","Grand Party Sofia 2026,listed-grand-party-sofia,scoringdance,review series identity",[2026]
[],HONEY FEST (Trial),"[""snap_20260913T052744Z_6206c331a747""]","HONEY FEST (Trial),listed-honey-fest-trial,wsdc_calendar,review series identity",[2023]
[],Halloween In Harrisburg & SwingZing,"[""snap_20260913T050503Z_1dc9d7a88150""]","Halloween In Harrisburg & SwingZing,listed-halloween-in-harrisburg-swingzing,swingdancecouncil,review series identity",[2010]
[],Halloween SwingThing (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Halloween SwingThing (Cancelled due to Covid-19),listed-halloween-swingthing-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2020]
[],Halloween Swingthing (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Halloween Swingthing (Cancelled due to Covid-19),listed-halloween-swingthing-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],Halloween Swingthing (Unconfirmed),"[""snap_20260913T055241Z_d374c58b5248""]","Halloween Swingthing (Unconfirmed),listed-halloween-swingthing-unconfirmed,wsdc_calendar,review series identity",[2024]
[],Hembsy Chill SILC Competition 2025,"[""snap_20260910T054224Z_1349ffceab74""]","Hembsy Chill SILC Competition 2025,listed-hembsy-chill-silc-competition,scoringdance,review series identity",[2025]
[],Hembsy Chill SILC Competition 2026,"[""snap_20260910T061032Z_11446e02d91a""]","Hembsy Chill SILC Competition 2026,listed-hembsy-chill-silc-competition,scoringdance,review series identity",[2026]
[],High Desert Dance Classic (Cancelled due to Coronavirus),"[""snap_20260913T052653Z_4309094e8fb4""]","High Desert Dance Classic (Cancelled due to Coronavirus),listed-high-desert-dance-classic-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],High Desert Dance Classic (On Hiatus for 2023),"[""snap_20260913T052804Z_e1e669041068""]","High Desert Dance Classic (On Hiatus for 2023),listed-high-desert-dance-classic-for,wsdc_calendar,review series identity",[2023]
[],High Desert Dance Classic (Virtual 1-Day)),"[""snap_20260913T052653Z_4309094e8fb4""]","High Desert Dance Classic (Virtual 1-Day)),listed-high-desert-dance-classic-virtual-1-day,wsdc_calendar,review series identity",[2021]
[],Holy Land Open  - On Hiatus - Registry Event,"[""snap_20260913T051244Z_a3c08b0b73ee""]","Holy Land Open  - On Hiatus - Registry Event,listed-holy-land-open-registry-event,wsdc_calendar,review series identity",[2017]
[],Houston Swing Classic,"[""snap_20260913T050653Z_5cf4ae4e6585""]","Houston Swing Classic,listed-houston-swing-classic,swingdancecouncil,review series identity",[2012]
[],Hungarian Open (Cancelled due to Coronavirus),"[""snap_20260913T052653Z_4309094e8fb4""]","Hungarian Open (Cancelled due to Coronavirus),listed-hungarian-open-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],Hungarian Open (Unconfirmed),"[""snap_20260913T055220Z_d77aed35c78d""]","Hungarian Open (Unconfirmed),listed-hungarian-open-unconfirmed,wsdc_calendar,review series identity",[2024]
[],IHSC,"[""snap_20260913T050613Z_a7106c385749"", ""snap_20260913T050713Z_532a13011352"", ""snap_20260913T050803Z_89757c41ead1""]","IHSC,listed-ihsc,swingdancecouncil,review series identity","[2012, 2013, 2015]"
[],ITALIAN OPEN WCS,"[""snap_20260913T052950Z_43d0406b9025""]","ITALIAN OPEN WCS,listed-italian-open-wcs,wsdc_newsletter,review series identity",[2017]
[],Indy Dance Explosion (Unconfirmed),"[""snap_20260913T055241Z_d374c58b5248""]","Indy Dance Explosion (Unconfirmed),listed-indy-dance-explosion-unconfirmed,wsdc_calendar,review series identity",[2024]
[],Infinite Swing Munich 2026,"[""snap_20260910T054354Z_ed79ffc2f8fb""]","Infinite Swing Munich 2026,listed-infinite-swing-munich,scoringdance,review series identity",[2026]
[],Italian Open West Coast Swing,"[""snap_20260913T050933Z_8684c9031883"", ""snap_20260913T051244Z_a3c08b0b73ee""]","Italian Open West Coast Swing,listed-italian-open-west-coast-swing,swingdancecouncil,review series identity","[2015, 2016, 2017]"
[],Jack & Jill O,"[""snap_20260913T051244Z_a3c08b0b73ee""]","Jack & Jill O,listed-jack-jill-o,wsdc_calendar,review series identity",[2016]
[],Jack & Jill O'Rama (Cancelled due to Covid-19),"[""snap_20260913T052054Z_f2004ad7080a"", ""snap_20260913T052653Z_4309094e8fb4""]","Jack & Jill O'Rama (Cancelled due to Covid-19),listed-jack-jill-o-rama-cancelled-due-to-covid-19,wsdc_calendar,review series identity","[2020, 2021]"
"[""wsdc-279"", ""wsdc-283""]",KAZAN EL FEST,"[""snap_20260913T053153Z_b3d4d7e4936b""]","KAZAN EL FEST,listed-kazan-el-fest,wsdc_newsletter,review series identity",[2019]
[],KIWI Fest (Cancelled due to Coronavirus),"[""snap_20260913T052653Z_4309094e8fb4""]","KIWI Fest (Cancelled due to Coronavirus),listed-kiwi-fest-cancelled-due-to-coronavirus,wsdc_calendar,review series identity",[2020]
[],KIWI Fest (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","KIWI Fest (Cancelled due to Covid-19),listed-kiwi-fest-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
