candidate_series,printed_name,snapshot_ids,suggested_override,years
[],Austin Rocks 2021 (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Austin Rocks 2021 (Cancelled due to Covid-19),listed-austin-rocks-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],Austin Rocks 2022 (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Austin Rocks 2022 (Cancelled due to Covid-19),listed-austin-rocks-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2022]
[],Austin Rocks 2024 (Unconfirmed),"[""snap_20260913T055241Z_d374c58b5248""]","Austin Rocks 2024 (Unconfirmed),listed-austin-rocks-unconfirmed,wsdc_calendar,review series identity",[2024]
[],Austin Swing Dance Championships (Cancelled due to Covid-19),"[""snap_20260913T052054Z_f2004ad7080a"", ""snap_20260913T052653Z_4309094e8fb4""]","Austin Swing Dance Championships (Cancelled due to Covid-19),listed-austin-swing-dance-championships-cancelled-due-to-covid-19,wsdc_calendar,review series identity","[2020, 2021, 2022]"
[],Australian Classic WCS Dance Championships,"[""snap_20260913T053435Z_ed5072b4dea1""]","Australian Classic WCS Dance Championships,listed-australian-classic-wcs-dance-championships,wsdc_newsletter,review series identity",[2024]
[],Australian Open WCS Dance Champ's,"[""snap_20260913T050724Z_6ddaacedd7ed"", ""snap_20260913T050933Z_8684c9031883"", ""snap_20260913T051023Z_de41000bfa60""]","Australian Open WCS Dance Champ's,listed-australian-open-wcs-dance-champ-s,swingdancecouncil,review series identity","[2013, 2015, 2016]"
[],Australian Open West Coast Swing Dance Champ's,"[""snap_20260913T050533Z_9b70788c5a8a"", ""snap_20260913T050703Z_0dc4bfe1a4a1""]","Australian Open West Coast Swing Dance Champ's,listed-australian-open-west-coast-swing-dance-champ-s,swingdancecouncil,review series identity","[2011, 2012]"
[],Autumn Beat,"[""de51b1e142624d9a854864ae05264d1b""]","Autumn Beat,listed-autumn-beat,wsdc_calendar,review series identity",[2026]
[],Autumn Swing Challenge (Unconfirmed),"[""snap_20260913T052844Z_b95ece79a3ac"", ""snap_20260913T055241Z_d374c58b5248""]","Autumn Swing Challenge (Unconfirmed),listed-autumn-swing-challenge-unconfirmed,wsdc_calendar,review series identity","[2023, 2024]"
[],Autumn Swing Challenge 2020 (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Autumn Swing Challenge 2020 (Cancelled due to Covid-19),listed-autumn-swing-challenge-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2020]
[],Avignon City Swing (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Avignon City Swing (Cancelled due to Covid-19),listed-avignon-city-swing-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2022]
[],BARCELONA WESTIE SUMMER,"[""snap_20260913T053153Z_b3d4d7e4936b""]","BARCELONA WESTIE SUMMER,listed-barcelona-westie-summer,wsdc_newsletter,review series identity",[2019]
[],BIG APPLE COUNTRY DANCE CHAMPIONSHIPS,"[""snap_20260913T052919Z_08ef5aac2666"", ""snap_20260913T053153Z_b3d4d7e4936b"", ""snap_20260913T053243Z_3347ef6a3141""]","BIG APPLE COUNTRY DANCE CHAMPIONSHIPS,listed-big-apple-country-dance-championships,wsdc_newsletter,review series identity","[2017, 2018, 2019]"
[],BINDAAS Bachata Festival 2024,"[""snap_20260910T053906Z_f342697aa8e1""]","BINDAAS Bachata Festival 2024,listed-bindaas-bachata-festival,scoringdance,review series identity",[2024]
[],BINDAAS Bachata Festival 2025,"[""snap_20260910T051244Z_07fe29c24305""]","BINDAAS Bachata Festival 2025,listed-bindaas-bachata-festival,scoringdance,review series identity",[2025]
[],BOOGIE BY THE BAY (NASDE),"[""snap_20260913T052950Z_43d0406b9025"", ""snap_20260913T053204Z_ea0a1cfa6f68"", ""snap_20260913T053253Z_e19d60bb1ba4""]","BOOGIE BY THE BAY (NASDE),listed-boogie-by-the-bay-nasde,wsdc_newsletter,review series identity","[2017, 2018, 2019]"
[],BRIDGE TOWN SWING,"[""snap_20260913T052919Z_08ef5aac2666""]","BRIDGE TOWN SWING,listed-bridge-town-swing,wsdc_newsletter,review series identity",[2017]
[],BTO Open (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","BTO Open (Cancelled due to Covid-19),listed-bto-open-cancelled-due-to-covid-19,wsdc_calendar,review series identity","[2021, 2022]"
[],BY-TOWN ONTARIO OPEN (BTO),"[""snap_20260913T053303Z_220a0f22f0f6""]","BY-TOWN ONTARIO OPEN (BTO),listed-by-town-ontario-open-bto,wsdc_newsletter,review series identity",[2020]
[],BachaZouk Bachata Festival 2026,"[""snap_20260910T053556Z_32aecf05d35e""]","BachaZouk Bachata Festival 2026,listed-bachazouk-bachata-festival,scoringdance,review series identity",[2026]
[],Bachata Beach Festival,"[""snap_20260910T060737Z_e4e544a55ed6""]","Bachata Beach Festival,listed-bachata-beach-festival,scoringdance,review series identity",[2026]
[],Bachata Beach Festival 2025,"[""snap_20260910T060626Z_42d65aeb4a35""]","Bachata Beach Festival 2025,listed-bachata-beach-festival,scoringdance,review series identity",[2025]
[],Bachata Beyond 2025 | The Enchanted Realm of Rhythm,"[""snap_20260910T063518Z_706ee953570a""]","Bachata Beyond 2025 | The Enchanted Realm of Rhythm,listed-bachata-beyond-the-enchanted-realm-of-rhythm,scoringdance,review series identity",[2025]
[],Bachata Explosion 2024,"[""snap_20260910T053716Z_9ffcab169ee9""]","Bachata Explosion 2024,listed-bachata-explosion,scoringdance,review series identity",[2024]
[],Bachata Festival Germany 2025,"[""snap_20260910T061018Z_c10a513c73e4""]","Bachata Festival Germany 2025,listed-bachata-festival-germany,scoringdance,review series identity",[2025]
[],Bachata Geneva Festival - Bachata Social World Cup 2025,"[""snap_20260910T051224Z_49f9718589da""]","Bachata Geneva Festival - Bachata Social World Cup 2025,listed-bachata-geneva-festival-bachata-social-world-cup,scoringdance,review series identity",[2025]
[],Bachata Sensual Chicago 2025,"[""snap_20260910T053841Z_0cb855607d86""]","Bachata Sensual Chicago 2025,listed-bachata-sensual-chicago,scoringdance,review series identity",[2025]
[],Bachata Sensual Congress Germany 2024,"[""snap_20260910T053626Z_d7d5eba9551c""]","Bachata Sensual Congress Germany 2024,listed-bachata-sensual-congress-germany,scoringdance,review series identity",[2024]
[],Bachata Sensual Congress Germany 2025,"[""snap_20260910T060151Z_5f8a2c18de8f""]","Bachata Sensual Congress Germany 2025,listed-bachata-sensual-congress-germany,scoringdance,review series identity",[2025]
[],Bachata Sphere Weekend Paris 2025,"[""snap_20260910T063703Z_3e48ad267eae""]","Bachata Sphere Weekend Paris 2025,listed-bachata-sphere-weekend-paris,scoringdance,review series identity",[2025]
[],Bachata Zouk Royals 2025,"[""snap_20260910T063458Z_425dabfc0f83""]","Bachata Zouk Royals 2025,listed-bachata-zouk-royals,scoringdance,review series identity",[2025]
[],Bachatation Festival 2025,"[""snap_20260910T053424Z_ec178ea4f6fd""]","Bachatation Festival 2025,listed-bachatation-festival,scoringdance,review series identity",[2025]
[],Baltic Swing (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Baltic Swing (Cancelled due to Covid-19),listed-baltic-swing-cancelled-due-to-covid-19,wsdc_calendar,review series identity","[2020, 2021]"
[],Bama Jamma,"[""snap_20260913T055220Z_d77aed35c78d""]","Bama Jamma,listed-bama-jamma,wsdc_calendar,review series identity",[2024]
[],Bama Jamma (Trial Event),"[""snap_20260913T055241Z_d374c58b5248""]","Bama Jamma (Trial Event),listed-bama-jamma-trial-event,wsdc_calendar,review series identity",[2024]
[],Barcelona Westie Summer (Trial),"[""snap_20260913T051353Z_65d61746a3d0""]","Barcelona Westie Summer (Trial),listed-barcelona-westie-summer-trial,wsdc_calendar,review series identity",[2019]
[],Barock Swing,"[""snap_20260913T055411Z_037bc2fb7478""]","Barock Swing,listed-barock-swing,wsdc_calendar,review series identity",[2025]
[],BaroqueSwing Ludwigsburg 2026,"[""snap_20260910T060932Z_1ca69bb1632c""]","BaroqueSwing Ludwigsburg 2026,listed-baroqueswing-ludwigsburg,scoringdance,review series identity",[2026]
[],Bavarian Open (Cancelled due to Covid 19),"[""snap_20260913T052653Z_4309094e8fb4""]","Bavarian Open (Cancelled due to Covid 19),listed-bavarian-open-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2021]
[],Bavarian Open (Cancelled due to Covid-19),"[""snap_20260913T052653Z_4309094e8fb4""]","Bavarian Open (Cancelled due to Covid-19),listed-bavarian-open-cancelled-due-to-covid-19,wsdc_calendar,review series identity",[2020]
[],Bavarian Open WCS Championships,"[""snap_20260913T053443Z_bf5de4bbd205""]","Bavarian Open WCS Championships,listed-bavarian-open-wcs-championships,wsdc_newsletter,review series identity",[2024]
[],BeeMAD (Trial Event),"[""snap_20260913T055241Z_d374c58b5248""]","BeeMAD (Trial Event),listed-beemad-trial-event,wsdc_calendar,review series identity",[2024]
[],Bend Connection 2024,"[""snap_20260910T060252Z_4622b3db71a8""]","Bend Connection 2024,listed-bend-connection,scoringdance,review series identity",[2024]
