event_id	title	dates_mm_dd_yyyy
280	German Open 2025	08/07 - 08/10/2025
262	Bristol Swing Fiesta 2025	08/01 - 08/03/2025
267	Lisbon Westie Fest 2025	08/01 - 08/03/2025
246	Warsaw Summer Nights Westival 2025	07/31 - 08/04/2025
287	Rock The Barn 2025	07/17 - 07/20/2025
226	BMJ Sensual Festival 25 (Bachata World Cup Geneva 2026 Qualifiers Event – Japan)	07/11 - 07/13/2025
254	Mediterranean Open 2025	07/11 - 07/13/2025
278	SaunaSwing 2025	07/03 - 07/06/2025
270	Neverland Swing 2025	06/26 - 06/30/2025
251	French Connection 2025	06/26 - 06/29/2025
228	Dance N Play 2025	06/26 - 06/29/2025
171	Bachata Sensual Congress Germany 2025	06/20 - 06/22/2025
247	Barock Swing Ludwigsburg 2025	06/19 - 06/22/2025
265	Bachata Beach Festival 2025	06/19/2025
216	Nordic Bachata Congress 2025	06/13 - 06/15/2025
252	D-Town Swing 2025	06/12 - 06/15/2025
219	Terra Livre Dance Festival 2025 (Summer Edition)	06/12 - 06/15/2025
255	Hembsy Chill SILC Competition 2025	06/06 - 06/09/2025
277	Baltic Swing 2025	06/05 - 06/09/2025
263	Festival City Swing Edinburgh 2025	05/30 - 06/02/2025
268	Hungarian Open 2025	05/30 - 06/01/2025
261	N:XT LEVEL SWING 2025	05/29 - 06/01/2025
242	French Open 2025	05/28 - 06/01/2025
248	Nanaimo Dance Fusion 2025	05/23 - 05/25/2025
192	SOswing Convention 2025	05/15 - 05/18/2025
214	Bachata Sphere Weekend Paris 2025	05/08 - 05/11/2025
245	Swing of Music 2025	05/08 - 05/12/2025
229	Med In Swing 2025	05/08 - 05/11/2025
169	Pure Bachata Summer Festival (Bachata World Cup Geneva 2026 Qualifiers Event – Germany)	05/02 - 05/05/2025
253	BeeMAD 2025	05/02 - 05/04/2025
249	Nordic WCS Championships 2025	05/01 - 05/04/2025
250	Spring Time Swing 2025	04/30 - 05/05/2025
244	Detonation Dance 2025	04/24 - 04/28/2025
241	SwingIn-Festival 2025	04/24 - 04/27/2025
239	Easter Swing 2025	04/17 - 04/20/2025
233	Slovenian Open 2025	04/10 - 04/13/2025
240	City of Angels 2025	04/10 - 04/13/2025
184	Bachata Festival Germany 2025	04/09 - 04/14/2025
207	Westy Nantes 2025	04/04 - 04/06/2025
198	Bachata Geneva Festival - Bachata Social World Cup 2025	03/28 - 03/31/2025
181	BTO Open 2025	03/27 - 03/30/2025
201	UK West Coast Swing Championships 2025	03/27 - 03/31/2025
236	5280 Westival 2025	03/20 - 03/24/2025
231	King Swing 2025	03/20 - 03/24/2025
166	BINDAAS Bachata Festival 2025	03/14 - 03/16/2025
225	Dutch Open 2025	03/13 - 03/16/2025
211	West in Lyon 2025	03/13 - 03/16/2025
230	Westie Spring Thing 2025	03/13 - 03/17/2025
158	Euro Dance Festival 2025	03/04 - 03/09/2025
209	NRW United Bachata Festival 2025	02/27 - 03/02/2025
224	Winter Coast Swing 2025	02/20 - 02/23/2025
215	Bachatation Festival 2025	02/20 - 02/23/2025
182	Rose City Swing 2025	02/20 - 02/24/2025
223	Valentine Swing 2025	02/14 - 02/17/2025
205	Trinity Swing 2025	02/07 - 02/09/2025
153	Luxembourg Bachata Family Festival 2025	02/07 - 02/08/2025
222	Swingtzerland 2025	02/06 - 02/10/2025
202	Pure Bachata - Urban Fusion Festival 2025	01/31 - 02/03/2025
183	Latin Dream Bachata Festival 2025	01/31 - 02/03/2025
206	Paris Swing Classic 2025	01/30 - 02/03/2025
195	Swing Resolution 2025	01/23 - 01/26/2025
199	Avignon City Swing 2025	01/17 - 01/19/2025
203	Terra Livre Dance Festival 2025 (Winter Edition)	01/17 - 01/19/2025
193	MontereySwingfest 2025	01/16 - 01/20/2025
167	Munich Bachata Fest 2025	01/09 - 01/13/2025
189	Budafest 2025	01/07 - 01/12/2025
191	Country Couver 2025	01/02 - 01/05/2025
190	SwingCouver 2025	01/02 - 01/05/2025
196	Westie Gala 2024/2025	12/28/2024-01/01/2025
188	SwingVester 2024/25	12/27/2024-01/02/2025
197	Pure Bachata - Role Rotation Weekend Cologne 2024	12/27 - 12/30/2024
186	Global Grand Prix Swing Dance Championships 2024	12/13 - 12/16/2024
187	Berlin Swing Revolution 2024	12/12 - 12/15/2024
168	Copenhagen Bachata Congress 2024	12/06 - 12/08/2024
185	Winter White 2024	12/05 - 12/08/2024
170	Pure Bachata Winter Festival 2024	11/15 - 11/17/2024
180	Flowstate	11/08 - 11/11/2024
164	Westie Pink City 2024	11/08 - 11/11/2024
176	Sea to Sky 2024	11/07 - 11/11/2024
161	Stockholm Sensusal Festival 2024	11/01 - 11/03/2024
157	Westie's Angels 2024	10/31 - 11/04/2024
173	Scandinavian Open WCS 2024 [SNOW 2024]	10/31 - 11/03/2024
