fetched_round_urls,listed_round_urls,mapped_event_id,never_checked_round_urls,period,published_contests,published_rounds,source,source_end_date,source_name,source_ref,source_start_date,unfetched_examples,unfetched_round_urls
15,15,2023-06-hungarian-open,,past,7,15,scoringdance,2023-06-02,Hungarian Open 2023,scoringdance:86,2023-06-02,,
,,,,unknown,0,0,scoringdance,,Arctic Westie Fest 2026,scoringdance:388,,,
,20,2025-05-med-in-swing,20,past,0,0,scoringdance,2025-05-08,Med In Swing 2025,scoringdance:229,2025-05-08,https://scoring.dance/enUS/events/229/results/3737.html|https://scoring.dance/enUS/events/229/results/3738.html|https://scoring.dance/enUS/events/229/results/3726.html,20
,4,2026-02-munich-bachata-fest,4,past,0,0,scoringdance,2026-02-26,Munich Bachata Fest 2026,scoringdance:345,2026-02-26,https://scoring.dance/enUS/events/345/results/5318.html|https://scoring.dance/enUS/events/345/results/5319.html|https://scoring.dance/enUS/events/345/results/5320.html,4
,15,2025-12-new-year-s-swing-fling,15,past,0,0,scoringdance,2025-12-31,New Year's Swing Fling,scoringdance:339,2025-12-31,https://scoring.dance/enUS/events/339/results/5023.html|https://scoring.dance/enUS/events/339/results/5024.html|https://scoring.dance/enUS/events/339/results/5025.html,15
,22,2026-05-swing-of-music,22,past,0,0,scoringdance,2026-05-07,Swing of Music 2026,scoringdance:409,2026-05-07,https://scoring.dance/enUS/events/409/results/5873.html|https://scoring.dance/enUS/events/409/results/5874.html|https://scoring.dance/enUS/events/409/results/5875.html,22
,6,2024-09-wcsparty,6,past,0,0,scoringdance,2024-09-26,WCSParty 2024,scoringdance:151,2024-09-26,https://scoring.dance/enUS/events/151/results/2433.html|https://scoring.dance/enUS/events/151/results/2434.html|https://scoring.dance/enUS/events/151/results/2435.html,6
,3,2024-12-pure-bachata-role-rotation-weekend-cologne,3,past,0,0,scoringdance,2024-12-27,Pure Bachata - Role Rotation Weekend Cologne 2024,scoringdance:197,2024-12-27,https://scoring.dance/enUS/events/197/results/2886.html|https://scoring.dance/enUS/events/197/results/2887.html|https://scoring.dance/enUS/events/197/results/2888.html,3
,22,2024-01-swing-resolution,22,past,0,0,scoringdance,2024-01-26,Swing Resolution 2024,scoringdance:112,2024-01-26,https://scoring.dance/enUS/events/112/results/1552.html|https://scoring.dance/enUS/events/112/results/1553.html|https://scoring.dance/enUS/events/112/results/1554.html,22
,26,2025-01-paris-swing-classic,26,past,0,0,scoringdance,2025-01-30,Paris Swing Classic 2025,scoringdance:206,2025-01-30,https://scoring.dance/enUS/events/206/results/3096.html|https://scoring.dance/enUS/events/206/results/3097.html|https://scoring.dance/enUS/events/206/results/3098.html,26
,12,2025-07-rock-the-barn,12,past,0,0,scoringdance,2025-07-17,Rock The Barn 2025,scoringdance:287,2025-07-17,https://scoring.dance/enUS/events/287/results/4098.html|https://scoring.dance/enUS/events/287/results/4100.html|https://scoring.dance/enUS/events/287/results/4096.html,12
,4,2025-09-bachata-sensual-chicago,4,past,0,0,scoringdance,2025-09-04,Bachata Sensual Chicago 2025,scoringdance:290,2025-09-04,https://scoring.dance/enUS/events/290/results/4327.html|https://scoring.dance/enUS/events/290/results/4328.html|https://scoring.dance/enUS/events/290/results/4329.html,4
,23,2023-10-warsaw-halloween-swing,23,past,0,0,scoringdance,2023-10-26,Warsaw Halloween Swing 2023,scoringdance:96,2023-10-26,https://scoring.dance/enUS/events/96/results/1298.html|https://scoring.dance/enUS/events/96/results/1299.html|https://scoring.dance/enUS/events/96/results/1300.html,23
,16,2026-05-hungarian-open,16,past,0,0,scoringdance,2026-05-22,Hungarian Open 2026,scoringdance:415,2026-05-22,https://scoring.dance/enUS/events/415/results/5952.html|https://scoring.dance/enUS/events/415/results/5953.html|https://scoring.dance/enUS/events/415/results/5954.html,16
,17,2026-04-slovenian-open,17,past,0,0,scoringdance,2026-04-23,Slovenian Open 2026,scoringdance:404,2026-04-23,https://scoring.dance/enUS/events/404/results/5802.html|https://scoring.dance/enUS/events/404/results/5803.html|https://scoring.dance/enUS/events/404/results/5804.html,17
,21,2024-05-soswing-convention,21,past,0,0,scoringdance,2024-05-16,SOswing Convention 2024,scoringdance:130,2024-05-16,https://scoring.dance/enUS/events/130/results/1937.html|https://scoring.dance/enUS/events/130/results/1938.html|https://scoring.dance/enUS/events/130/results/1939.html,21
,20,2026-07-french-connection,20,past,0,0,scoringdance,2026-07-03,French Connection 2026,scoringdance:387,2026-07-03,https://scoring.dance/enUS/events/387/results/5448.html|https://scoring.dance/enUS/events/387/results/5449.html|https://scoring.dance/enUS/events/387/results/5450.html,20
,21,2025-11-autumn-swing-challenge,21,past,0,0,scoringdance,2025-11-06,Autumn Swing Challenge 2025,scoringdance:325,2025-11-06,https://scoring.dance/enUS/events/325/results/4759.html|https://scoring.dance/enUS/events/325/results/4760.html|https://scoring.dance/enUS/events/325/results/4761.html,21
,30,2026-04-nordic-wcs-championships,30,past,0,0,scoringdance,2026-04-30,Nordic WCS Championships 2026,scoringdance:407,2026-04-30,https://scoring.dance/enUS/events/407/results/5823.html|https://scoring.dance/enUS/events/407/results/5824.html|https://scoring.dance/enUS/events/407/results/5825.html,30
24,24,2024-10-wcs-festival-dusseldorf,,past,13,24,scoringdance,2024-10-10,WCS Festival Düsseldorf 2024,scoringdance:160,2024-10-10,,
,30,2025-12-global-grand-prix-wcs,30,past,0,0,scoringdance,2025-12-12,Global Grand Prix WCS 2025,scoringdance:323,2025-12-12,https://scoring.dance/enUS/events/323/results/4781.html|https://scoring.dance/enUS/events/323/results/4782.html|https://scoring.dance/enUS/events/323/results/4783.html,30
,3,2025-02-nrw-united-bachata-festival,3,past,0,0,scoringdance,2025-02-27,NRW United Bachata Festival 2025,scoringdance:209,2025-02-27,https://scoring.dance/enUS/events/209/results/3223.html|https://scoring.dance/enUS/events/209/results/3224.html|https://scoring.dance/enUS/events/209/results/3225.html,3
,21,2025-09-wcsparty,21,past,0,0,scoringdance,2025-09-18,WCSParty 2025,scoringdance:306,2025-09-18,https://scoring.dance/enUS/events/306/results/4334.html|https://scoring.dance/enUS/events/306/results/4335.html|https://scoring.dance/enUS/events/306/results/4331.html,21
13,13,2024-09-retaliation-swing,,past,7,13,scoringdance,2024-09-19,Retaliation Swing 2024,scoringdance:154,2024-09-19,,
,28,2025-04-easter-swing,28,past,0,0,scoringdance,2025-04-17,Easter Swing 2025,scoringdance:239,2025-04-17,https://scoring.dance/enUS/events/239/results/3529.html|https://scoring.dance/enUS/events/239/results/3530.html|https://scoring.dance/enUS/events/239/results/3514.html,28
,8,2019-11-taf-deutsche-meisterschaft-west-coast-swing,8,past,0,0,scoringdance,2019-11-16,TAF Deutsche Meisterschaft West Coast Swing 2019,scoringdance:18,2019-11-16,https://scoring.dance/enUS/events/18/results/255.html|https://scoring.dance/enUS/events/18/results/256.html|https://scoring.dance/enUS/events/18/results/257.html,8
,23,2024-02-paris-swing-classic,23,past,0,0,scoringdance,2024-02-01,Paris Swing Classic 2024,scoringdance:113,2024-02-01,https://scoring.dance/enUS/events/113/results/1569.html|https://scoring.dance/enUS/events/113/results/1570.html|https://scoring.dance/enUS/events/113/results/1571.html,23
,23,2024-10-milan-modern-swing,23,past,0,0,scoringdance,2024-10-17,Milan Modern Swing 2024,scoringdance:172,2024-10-17,https://scoring.dance/enUS/events/172/results/2511.html|https://scoring.dance/enUS/events/172/results/2512.html|https://scoring.dance/enUS/events/172/results/2513.html,23
,15,2026-02-winter-coast-swing,15,past,0,0,scoringdance,2026-02-19,Winter Coast Swing 2026,scoringdance:366,2026-02-19,https://scoring.dance/enUS/events/366/results/5255.html|https://scoring.dance/enUS/events/366/results/5256.html|https://scoring.dance/enUS/events/366/results/5257.html,15
,,,,unknown,0,0,scoringdance,,CozySwing 2019,scoringdance:21,,,
,24,2024-04-nordic-wcs-championships,24,past,0,0,scoringdance,2024-04-25,Nordic WCS Championships 2024,scoringdance:131,2024-04-25,https://scoring.dance/enUS/events/131/results/1889.html|https://scoring.dance/enUS/events/131/results/1890.html|https://scoring.dance/enUS/events/131/results/1891.html,24
,20,2025-12-winter-white,20,past,0,0,scoringdance,2025-12-04,Winter White 2025,scoringdance:342,2025-12-04,https://scoring.dance/enUS/events/342/results/4839.html|https://scoring.dance/enUS/events/342/results/4841.html|https://scoring.dance/enUS/events/342/results/4842.html,20
,,,,unknown,0,0,scoringdance,,SwingTime 2022,scoringdance:64,,,
,4,2025-05-pure-bachata-summer-festival-bachata-world-cup-geneva-qualifiers-event-germany,4,past,0,0,scoringdance,2025-05-02,Pure Bachata Summer Festival (Bachata World Cup Geneva 2026 Qualifiers Event – Germany),scoringdance:169,2025-05-02,https://scoring.dance/enUS/events/169/results/3691.html|https://scoring.dance/enUS/events/169/results/3692.html|https://scoring.dance/enUS/events/169/results/3693.html,4
,19,2023-04-nordic-wcs-championships,19,past,0,0,scoringdance,2023-04-28,Nordic WCS Championships 2023,scoringdance:80,2023-04-28,https://scoring.dance/enUS/events/80/results/975.html|https://scoring.dance/enUS/events/80/results/976.html|https://scoring.dance/enUS/events/80/results/977.html,19
,,2018-12-swingvester,,past,0,0,scoringdance,2018-12-28,SwingVester 2018,scoringdance:6,2018-12-28,,
,31,2024-04-city-of-angels-swing,31,past,0,0,scoringdance,2024-04-11,City of Angels Swing 2024,scoringdance:126,2024-04-11,https://scoring.dance/enUS/events/126/results/1748.html|https://scoring.dance/enUS/events/126/results/1749.html|https://scoring.dance/enUS/events/126/results/1750.html,31
36,36,2026-05-french-open,,past,21,36,scoringdance,2026-05-13,French Open 2026,scoringdance:391,2026-05-13,,
,17,2022-11-scandinavian-open-wcs-snow,17,past,0,0,scoringdance,2022-11-03,Scandinavian Open WCS 2022 [SNOW 2022],scoringdance:55,2022-11-03,https://scoring.dance/enUS/events/55/results/731.html|https://scoring.dance/enUS/events/55/results/732.html|https://scoring.dance/enUS/events/55/results/733.html,17
23,23,2022-01-budafest,,past,9,23,scoringdance,2022-01-05,Budafest 2022,scoringdance:44,2022-01-05,,
,4,2023-12-munich-bachata-fest,4,past,0,0,scoringdance,2023-12-08,Munich Bachata Fest 2023,scoringdance:107,2023-12-08,https://scoring.dance/enUS/events/107/results/1386.html|https://scoring.dance/enUS/events/107/results/1387.html|https://scoring.dance/enUS/events/107/results/1388.html,4
,10,2023-02-valentine-swing,10,past,0,0,scoringdance,2023-02-17,Valentine Swing 2023,scoringdance:75,2023-02-17,https://scoring.dance/enUS/events/75/results/861.html|https://scoring.dance/enUS/events/75/results/862.html|https://scoring.dance/enUS/events/75/results/863.html,10
6,6,2020-02-carnival-swing-cologne,,past,3,6,scoringdance,2020-02-14,Carnival Swing Cologne 2020,scoringdance:31,2020-02-14,,
,20,2024-04-detonation-dance,20,past,0,0,scoringdance,2024-04-18,Detonation Dance 2024,scoringdance:129,2024-04-18,https://scoring.dance/enUS/events/129/results/1820.html|https://scoring.dance/enUS/events/129/results/1821.html|https://scoring.dance/enUS/events/129/results/1817.html,20
28,28,2024-01-budafest,,past,11,28,scoringdance,2024-01-03,Budafest 2024,scoringdance:108,2024-01-03,,
,30,2024-10-halloween-swingthing,30,past,0,0,scoringdance,2024-10-25,Halloween SwingThing 2024,scoringdance:175,2024-10-25,https://scoring.dance/enUS/events/175/results/2536.html|https://scoring.dance/enUS/events/175/results/2537.html|https://scoring.dance/enUS/events/175/results/2538.html,30
,14,2023-01-westie-gala,14,past,0,0,scoringdance,2023-01-06,Westie Gala 2023,scoringdance:57,2023-01-06,https://scoring.dance/enUS/events/57/results/820.html|https://scoring.dance/enUS/events/57/results/821.html|https://scoring.dance/enUS/events/57/results/822.html,14
28,28,2024-10-westie-s-angels,,past,16,28,scoringdance,2024-10-31,Westie's Angels 2024,scoringdance:157,2024-10-31,,
,,,,unknown,0,0,scoringdance,,NeverlandSwing 2020,scoringdance:36,,,
,25,2025-09-midland-swing-open,25,past,0,0,scoringdance,2025-09-24,Midland Swing Open 2025,scoringdance:295,2025-09-24,https://scoring.dance/enUS/events/295/results/4429.html|https://scoring.dance/enUS/events/295/results/4430.html|https://scoring.dance/enUS/events/295/results/4421.html,25
,25,2025-10-warsaw-halloween-swing,25,past,0,0,scoringdance,2025-10-30,Warsaw Halloween Swing 2025,scoringdance:324,2025-10-30,https://scoring.dance/enUS/events/324/results/4727.html|https://scoring.dance/enUS/events/324/results/4728.html|https://scoring.dance/enUS/events/324/results/4758.html,25
,18,2025-06-french-connection,18,past,0,0,scoringdance,2025-06-26,French Connection 2025,scoringdance:251,2025-06-26,https://scoring.dance/enUS/events/251/results/3893.html|https://scoring.dance/enUS/events/251/results/3894.html|https://scoring.dance/enUS/events/251/results/3895.html,18
,18,2023-10-wcs-festival-dusseldorf,18,past,0,0,scoringdance,2023-10-12,WCS Festival Düsseldorf 2023,scoringdance:94,2023-10-12,https://scoring.dance/enUS/events/94/results/1246.html|https://scoring.dance/enUS/events/94/results/1247.html|https://scoring.dance/enUS/events/94/results/1271.html,18
,16,2023-05-tlv-swingfest,16,past,0,0,scoringdance,2023-05-12,TLV Swingfest 2023,scoringdance:82,2023-05-12,https://scoring.dance/enUS/events/82/results/988.html|https://scoring.dance/enUS/events/82/results/989.html|https://scoring.dance/enUS/events/82/results/990.html,16
,22,2026-01-swing-resolution,22,past,0,0,scoringdance,2026-01-23,Swing Resolution 2026,scoringdance:336,2026-01-23,https://scoring.dance/enUS/events/336/results/5085.html|https://scoring.dance/enUS/events/336/results/5087.html|https://scoring.dance/enUS/events/336/results/5088.html,22
,28,2025-01-budafest,28,past,0,0,scoringdance,2025-01-07,Budafest 2025,scoringdance:189,2025-01-07,https://scoring.dance/enUS/events/189/results/2889.html|https://scoring.dance/enUS/events/189/results/2890.html|https://scoring.dance/enUS/events/189/results/2891.html,28
,14,2026-06-baroqueswing-ludwigsburg,14,past,0,0,scoringdance,2026-06-25,BaroqueSwing Ludwigsburg 2026,scoringdance:419,2026-06-25,https://scoring.dance/enUS/events/419/results/6028.html|https://scoring.dance/enUS/events/419/results/6029.html|https://scoring.dance/enUS/events/419/results/6167.html,14
,16,2025-04-swingin-festival,16,past,0,0,scoringdance,2025-04-24,SwingIn-Festival 2025,scoringdance:241,2025-04-24,https://scoring.dance/enUS/events/241/results/3547.html|https://scoring.dance/enUS/events/241/results/3548.html|https://scoring.dance/enUS/events/241/results/3549.html,16
,20,2026-06-neverland-swing,20,past,0,0,scoringdance,2026-06-25,Neverland Swing 2026,scoringdance:364,2026-06-25,https://scoring.dance/enUS/events/364/results/6181.html|https://scoring.dance/enUS/events/364/results/6182.html|https://scoring.dance/enUS/events/364/results/6183.html,20
,6,2019-05-taf-german-masters-west,6,past,0,0,scoringdance,2019-05-25,TAF German Masters West 2019,scoringdance:16,2019-05-25,https://scoring.dance/enUS/events/16/results/116.html|https://scoring.dance/enUS/events/16/results/117.html|https://scoring.dance/enUS/events/16/results/118.html,6
,4,2019-04-zouk-german-open-championship,4,past,0,0,scoringdance,2019-04-19,Zouk 1st German Open Championship 2019,scoringdance:14,2019-04-19,https://scoring.dance/enUS/events/14/results/105.html|https://scoring.dance/enUS/events/14/results/107.html|https://scoring.dance/enUS/events/14/results/109.html,4
20,20,2025-04-detonation-dance,,past,11,20,scoringdance,2025-04-24,Detonation Dance 2025,scoringdance:244,2025-04-24,,
,,,,unknown,0,0,scoringdance,,Baltic Swing 2020,scoringdance:37,,,
,26,2025-05-soswing-convention,26,past,0,0,scoringdance,2025-05-15,SOswing Convention 2025,scoringdance:192,2025-05-15,https://scoring.dance/enUS/events/192/results/3704.html|https://scoring.dance/enUS/events/192/results/3705.html|https://scoring.dance/enUS/events/192/results/3701.html,26
28,28,2022-06-d-town-swing,,past,14,28,scoringdance,2022-06-16,D-Town Swing 2022,scoringdance:51,2022-06-16,,
50,50,2024-08-swingtime-denver,,past,27,50,scoringdance,2024-08-15,SwingTime Denver 2024,scoringdance:141,2024-08-15,,
,38,2025-10-boogie-by-the-bay,38,past,0,0,scoringdance,2025-10-16,Boogie By the Bay,scoringdance:274,2025-10-16,https://scoring.dance/enUS/events/274/results/4597.html|https://scoring.dance/enUS/events/274/results/4599.html|https://scoring.dance/enUS/events/274/results/4600.html,38
,18,2022-08-german-open,18,past,0,0,scoringdance,2022-08-04,German Open 2022,scoringdance:53,2022-08-04,https://scoring.dance/enUS/events/53/results/592.html|https://scoring.dance/enUS/events/53/results/594.html|https://scoring.dance/enUS/events/53/results/595.html,18
5,5,2025-03-bachata-geneva-festival-bachata-social-world-cup,,past,2,4,scoringdance,2025-03-28,Bachata Geneva Festival - Bachata Social World Cup 2025,scoringdance:198,2025-03-28,,
,,,,unknown,0,0,scoringdance,,Euro Sensual Festival 2025,scoringdance:284,,,
,,,,unknown,0,0,scoringdance,,Cologne Zouk Festival 2020,scoringdance:32,,,
,21,2025-01-avignon-city-swing,21,past,0,0,scoringdance,2025-01-17,Avignon City Swing 2025,scoringdance:199,2025-01-17,https://scoring.dance/enUS/events/199/results/2990.html|https://scoring.dance/enUS/events/199/results/2991.html|https://scoring.dance/enUS/events/199/results/2992.html,21
,21,2026-06-milan-swing-vibes,21,past,0,0,scoringdance,2026-06-18,Milan Swing Vibes 2026,scoringdance:365,2026-06-18,https://scoring.dance/enUS/events/365/results/6151.html|https://scoring.dance/enUS/events/365/results/6152.html|https://scoring.dance/enUS/events/365/results/6153.html,21
,21,2026-05-med-in-swing,21,past,0,0,scoringdance,2026-05-07,Med In Swing 2026,scoringdance:395,2026-05-07,https://scoring.dance/enUS/events/395/results/5547.html|https://scoring.dance/enUS/events/395/results/5548.html|https://scoring.dance/enUS/events/395/results/5549.html,21
18,18,2026-03-all-star-swingjam,,past,9,18,scoringdance,2026-03-12,All Star SwingJam 2026,scoringdance:321,2026-03-12,,
,20,2025-11-westie-pink-city,20,past,0,0,scoringdance,2025-11-13,Westie Pink City 2025,scoringdance:316,2025-11-13,https://scoring.dance/enUS/events/316/results/4528.html|https://scoring.dance/enUS/events/316/results/4529.html|https://scoring.dance/enUS/events/316/results/4530.html,20
,27,2025-11-westie-s-angels,27,past,0,0,scoringdance,2025-11-06,Westie's Angels 2025,scoringdance:314,2025-11-06,https://scoring.dance/enUS/events/314/results/4467.html|https://scoring.dance/enUS/events/314/results/4468.html|https://scoring.dance/enUS/events/314/results/4469.html,27
,20,2024-03-westie-spring-thing,20,past,0,0,scoringdance,2024-03-14,Westie Spring Thing 2024,scoringdance:115,2024-03-14,https://scoring.dance/enUS/events/115/results/1631.html|https://scoring.dance/enUS/events/115/results/1632.html|https://scoring.dance/enUS/events/115/results/1633.html,20
,3,2024-10-german-open-championship,3,past,0,0,scoringdance,2024-10-03,German Open Championship 2024,scoringdance:118,2024-10-03,https://scoring.dance/enUS/events/118/results/2441.html|https://scoring.dance/enUS/events/118/results/2442.html|https://scoring.dance/enUS/events/118/results/2443.html,3
,2,2025-01-pure-bachata-urban-fusion-festival,2,past,0,0,scoringdance,2025-01-31,Pure Bachata - Urban Fusion Festival 2025,scoringdance:202,2025-01-31,https://scoring.dance/enUS/events/202/results/3120.html|https://scoring.dance/enUS/events/202/results/3121.html,2
,,2018-05-cologne-zouk-festival,,past,0,0,scoringdance,2018-05-12,Cologne Zouk Festival,scoringdance:3,2018-05-12,,
,15,2026-02-prague-alchemy-swing,15,past,0,0,scoringdance,2026-02-13,Prague Alchemy Swing,scoringdance:357,2026-02-13,https://scoring.dance/enUS/events/357/results/5071.html|https://scoring.dance/enUS/events/357/results/5073.html|https://scoring.dance/enUS/events/357/results/5074.html,15
20,20,2026-07-mediterranean-open,,past,9,19,scoringdance,2026-07-09,Mediterranean Open 2026,scoringdance:376,2026-07-09,,
,,2019-09-taf-german-masters-west-coast-swing-nord,,past,0,0,scoringdance,2019-09-07,TAF German Masters West Coast Swing Nord 2019,scoringdance:17,2019-09-07,,
,25,2023-01-budafest,25,past,0,0,scoringdance,2023-01-11,Budafest 2023,scoringdance:58,2023-01-11,https://scoring.dance/enUS/events/58/results/838.html|https://scoring.dance/enUS/events/58/results/839.html|https://scoring.dance/enUS/events/58/results/858.html,25
,14,2024-04-slovenian-open,14,past,0,0,scoringdance,2024-04-19,Slovenian Open 2024,scoringdance:125,2024-04-19,https://scoring.dance/enUS/events/125/results/1801.html|https://scoring.dance/enUS/events/125/results/1802.html|https://scoring.dance/enUS/events/125/results/1803.html,14
31,31,2026-06-d-town-swing,,past,17,31,scoringdance,2026-06-18,D-Town Swing 2026,scoringdance:378,2026-06-18,,
,25,2024-07-sea-sun-swing-camp,25,past,0,0,scoringdance,2024-07-27,Sea Sun & Swing Camp 2024,scoringdance:144,2024-07-27,https://scoring.dance/enUS/events/144/results/2126.html|https://scoring.dance/enUS/events/144/results/2127.html|https://scoring.dance/enUS/events/144/results/2128.html,25
,17,2025-08-the-bend-connection,17,past,0,0,scoringdance,2025-08-21,The Bend Connection 2025,scoringdance:200,2025-08-21,https://scoring.dance/enUS/events/200/results/4142.html|https://scoring.dance/enUS/events/200/results/4143.html|https://scoring.dance/enUS/events/200/results/4144.html,17
,11,2024-08-bristol-swing-fiesta,11,past,0,0,scoringdance,2024-08-09,Bristol Swing Fiesta,scoringdance:147,2024-08-09,https://scoring.dance/enUS/events/147/results/2194.html|https://scoring.dance/enUS/events/147/results/2195.html|https://scoring.dance/enUS/events/147/results/2196.html,11
,9,2024-04-swingin-festival,9,past,0,0,scoringdance,2024-04-05,SwingIn - Festival 2024,scoringdance:124,2024-04-05,https://scoring.dance/enUS/events/124/results/1720.html|https://scoring.dance/enUS/events/124/results/1721.html|https://scoring.dance/enUS/events/124/results/1722.html,9
,19,2023-06-baltic-swing,19,past,0,0,scoringdance,2023-06-15,Baltic Swing 2023,scoringdance:83,2023-06-15,https://scoring.dance/enUS/events/83/results/1035.html|https://scoring.dance/enUS/events/83/results/1036.html|https://scoring.dance/enUS/events/83/results/1037.html,19
,11,2020-01-municorn-swing,11,past,0,0,scoringdance,2020-01-23,Municorn Swing 2020,scoringdance:29,2020-01-23,https://scoring.dance/enUS/events/29/results/331.html|https://scoring.dance/enUS/events/29/results/332.html|https://scoring.dance/enUS/events/29/results/333.html,11
,,,,unknown,0,0,scoringdance,,Swing Generations 2020,scoringdance:41,,,
,,,,unknown,0,0,scoringdance,,SwingTime Denver 2025,scoringdance:293,,,
,37,2024-05-french-open,37,past,0,0,scoringdance,2024-05-08,French Open 2024,scoringdance:121,2024-05-08,https://scoring.dance/enUS/events/121/results/1839.html|https://scoring.dance/enUS/events/121/results/1840.html|https://scoring.dance/enUS/events/121/results/1841.html,37
,29,2025-03-uk-west-coast-swing-championships,29,past,0,0,scoringdance,2025-03-27,UK West Coast Swing Championships 2025,scoringdance:201,2025-03-27,https://scoring.dance/enUS/events/201/results/3340.html|https://scoring.dance/enUS/events/201/results/3342.html|https://scoring.dance/enUS/events/201/results/3343.html,29
,17,2025-04-slovenian-open,17,past,0,0,scoringdance,2025-04-10,Slovenian Open 2025,scoringdance:233,2025-04-10,https://scoring.dance/enUS/events/233/results/3454.html|https://scoring.dance/enUS/events/233/results/3455.html|https://scoring.dance/enUS/events/233/results/3456.html,17
,28,2024-12-global-grand-prix-swing-dance-championships,28,past,0,0,scoringdance,2024-12-13,Global Grand Prix Swing Dance Championships 2024,scoringdance:186,2024-12-13,https://scoring.dance/enUS/events/186/results/2792.html|https://scoring.dance/enUS/events/186/results/2793.html|https://scoring.dance/enUS/events/186/results/2794.html,28
,4,2025-01-munich-bachata-fest,4,past,0,0,scoringdance,2025-01-09,Munich Bachata Fest 2025,scoringdance:167,2025-01-09,https://scoring.dance/enUS/events/167/results/2987.html|https://scoring.dance/enUS/events/167/results/2988.html|https://scoring.dance/enUS/events/167/results/2989.html,4
,,2023-06-jack-jill-o-rama,,past,0,0,scoringdance,2023-06-08,Jack&Jill O'Rama,scoringdance:87,2023-06-08,,
,6,2022-09-cologne-swing-weekend,6,past,0,0,scoringdance,2022-09-23,Cologne Swing Weekend 2022,scoringdance:69,2022-09-23,https://scoring.dance/enUS/events/69/results/647.html|https://scoring.dance/enUS/events/69/results/648.html|https://scoring.dance/enUS/events/69/results/649.html,6
,18,2022-06-baltic-swing,18,past,0,0,scoringdance,2022-06-24,Baltic Swing 2022,scoringdance:65,2022-06-24,https://scoring.dance/enUS/events/65/results/554.html|https://scoring.dance/enUS/events/65/results/555.html|https://scoring.dance/enUS/events/65/results/556.html,18
25,25,2024-09-midland-swing-open,,past,12,25,scoringdance,2024-09-26,Midland Swing Open 2024,scoringdance:150,2024-09-26,,
,17,2024-06-dance-n-play,17,past,0,0,scoringdance,2024-06-13,Dance N Play 2024,scoringdance:142,2024-06-13,https://scoring.dance/enUS/events/142/results/2046.html|https://scoring.dance/enUS/events/142/results/2047.html|https://scoring.dance/enUS/events/142/results/2048.html,17
,13,2026-07-warsaw-summer-nights-westival,13,past,0,0,scoringdance,2026-07-30,Warsaw Summer Nights Westival 2026,scoringdance:399,2026-07-30,https://scoring.dance/enUS/events/399/results/6286.html|https://scoring.dance/enUS/events/399/results/6287.html|https://scoring.dance/enUS/events/399/results/6288.html,13
,14,2026-05-nanaimo-dance-fusion,14,past,0,0,scoringdance,2026-05-28,Nanaimo Dance Fusion 2026,scoringdance:405,2026-05-28,https://scoring.dance/enUS/events/405/results/5931.html|https://scoring.dance/enUS/events/405/results/5932.html|https://scoring.dance/enUS/events/405/results/5933.html,14
,,,,unknown,0,0,scoringdance,,Monterey Swing Fest 2024,scoringdance:111,,,
,5,2026-01-bachazouk-bachata-festival,5,past,0,0,scoringdance,2026-01-29,BachaZouk Bachata Festival 2026,scoringdance:346,2026-01-29,https://scoring.dance/enUS/events/346/results/5147.html|https://scoring.dance/enUS/events/346/results/5148.html|https://scoring.dance/enUS/events/346/results/5149.html,5
,4,2024-06-bachata-sensual-congress-germany,4,past,0,0,scoringdance,2024-06-21,Bachata Sensual Congress Germany 2024,scoringdance:117,2024-06-21,https://scoring.dance/enUS/events/117/results/2059.html|https://scoring.dance/enUS/events/117/results/2060.html|https://scoring.dance/enUS/events/117/results/2061.html,4
16,16,2025-02-winter-coast-swing,,past,8,16,scoringdance,2025-02-20,Winter Coast Swing 2025,scoringdance:224,2025-02-20,,
,25,2023-08-bavarian-open,25,past,0,0,scoringdance,2023-08-31,Bavarian Open 2023,scoringdance:91,2023-08-31,https://scoring.dance/enUS/events/91/results/1161.html|https://scoring.dance/enUS/events/91/results/1162.html|https://scoring.dance/enUS/events/91/results/1163.html,25
10,10,2023-07-rock-the-barn,,past,5,10,scoringdance,2023-07-21,Rock The Barn 2023,scoringdance:89,2023-07-21,,
,15,2022-09-midland-swing-open,15,past,0,0,scoringdance,2022-09-30,Midland Swing Open 2022,scoringdance:70,2022-09-30,https://scoring.dance/enUS/events/70/results/671.html|https://scoring.dance/enUS/events/70/results/672.html|https://scoring.dance/enUS/events/70/results/673.html,15
,17,2026-08-uptown-swing,17,past,0,0,scoringdance,2026-08-14,UpTown Swing 2026,scoringdance:437,2026-08-14,https://scoring.dance/enUS/events/437/results/6387.html|https://scoring.dance/enUS/events/437/results/6388.html|https://scoring.dance/enUS/events/437/results/6384.html,17
,19,2026-07-sea-sun-swing-camp,19,past,0,0,scoringdance,2026-07-25,Sea Sun & Swing Camp 2026,scoringdance:394,2026-07-25,https://scoring.dance/enUS/events/394/results/6299.html|https://scoring.dance/enUS/events/394/results/6300.html|https://scoring.dance/enUS/events/394/results/6301.html,19
,3,2026-01-latin-dreams,3,past,0,0,scoringdance,2026-01-30,Latin Dreams 2026,scoringdance:351,2026-01-30,https://scoring.dance/enUS/events/351/results/5144.html|https://scoring.dance/enUS/events/351/results/5145.html|https://scoring.dance/enUS/events/351/results/5146.html,3
