cancelled,end_date,event_key,in_published_events,lead_only_warning,name,period,possible_published_matches,research_confidence,research_edition_held,research_flags,research_has_results,research_platform,research_results_url,research_status
False,2026-08-30,2026-08-desert-city-swing,True,research lead; not accepted source evidence,Desert City Swing,past,,high,,,true,worlddanceregistry,https://scores.worlddanceregistry.com/98011277-01cd-11f1-9a29-0aa72bbce9ea/awards,ended
False,2026-08-09,2026-08-german-open-wcs,False,research lead; not accepted source evidence,German Open WCS,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/425/results/,ended
False,2026-08-17,2026-08-grand-party-sofia-gps,False,research lead; not accepted source evidence,Grand Party Sofia (GPS),past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/370/results/,ended
False,2026-08-02,2026-08-lisbon-westie-fest,True,research lead; not accepted source evidence,Lisbon Westie Fest,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/360/results/,ended
False,2026-08-23,2026-08-manneken-swing,True,research lead; not accepted source evidence,Manneken Swing,past,,high,,event-trial,true,scoring.dance,https://scoring.dance/enUS/events/393/results/,ended
False,2026-08-09,2026-08-new-england-dance-festival,False,research lead; not accepted source evidence,New England Dance Festival,past,,high,,,true,google_drive_or_sheets,https://drive.google.com/drive/u/0/folders/1h5C2rwHIyTx4rQyZgSSilBfdZgP0BCWA,ended
False,2026-08-31,2026-08-rolling-swing,True,research lead; not accepted source evidence,Rolling Swing,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/392/results/,ended
False,2026-08-01,2026-08-sea-sun-and-swing,False,research lead; not accepted source evidence,Sea Sun and Swing,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/394/results/,ended
False,2026-08-23,2026-08-shakedown-swing,False,research lead; not accepted source evidence,Shakedown Swing,past,,high,,,true,danceconvention.net,https://danceconvention.net/eventdirector/en/eventpage/301107622-shakedown-swing-2026/results,ended
False,2026-08-23,2026-08-summer-hummer,True,research lead; not accepted source evidence,Summer Hummer,past,2026-08-summer-hummer,high,,,true,eepro,https://eepro.com/results/event.php?event=summerhummer2026,ended
False,2026-08-23,2026-08-swing-creation-hamburg,True,research lead; not accepted source evidence,Swing Creation Hamburg,past,,high,,event-trial,true,scoring.dance,https://scoring.dance/enUS/events/436/results/,ended
False,2026-08-09,2026-08-swing-fling,True,research lead; not accepted source evidence,Swing Fling,past,2026-08-swing-fling,high,,,true,eepro,https://eepro.com/results/event.php?event=swingfling2026,ended
False,2026-08-09,2026-08-swingtacular-the-galactic-open,False,research lead; not accepted source evidence,Swingtacular: The Galactic Open,past,,high,,,true,eepro,https://eepro.com/results/event.php?event=swingtacular2026,ended
False,2026-08-23,2026-08-the-bend-connection,True,research lead; not accepted source evidence,The Bend Connection,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/384/results/,ended
False,2026-08-17,2026-08-uptown-swing,True,research lead; not accepted source evidence,UpTown Swing,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/437/results/,ended
False,2026-08-02,2026-08-warsaw-summer-nights-westival,False,research lead; not accepted source evidence,Warsaw Summer Nights Westival,past,,medium,,,true,scoring.dance,https://scoring.dance/enUS/events/399/results/,ended
False,2026-08-23,2026-08-westie-joy,True,research lead; not accepted source evidence,Westie Joy,past,,high,,event-trial,true,scoring.dance,https://scoring.dance/enUS/events/396/results/,ended
False,2026-09-07,2026-09-jax-westie-fest,False,research lead; not accepted source evidence,Jax Westie Fest,past,,medium,,,true,worlddanceregistry,https://scores.worlddanceregistry.com,in_progress
False,2026-09-06,2026-09-korea-westival,False,research lead; not accepted source evidence,Korea Westival,past,,high,unknown,,true,danceconvention.net,https://danceconvention.net/eventdirector/en/eventpage/301273270/results,in_progress
False,2026-09-07,2026-09-south-bay-dance-fling,False,research lead; not accepted source evidence,South Bay Dance Fling,past,,high,,,false,event_website,https://sbdf.dance/results/,in_progress
