anonymous,confirmed,judges,name_missing,possible,probable,published_wsdc_id_missing,source,unmatched
0,0,1966,0,1481,0,1966,eepro,485
0,0,1473,0,1025,0,1473,scoringdance,448
0,0,352,0,56,0,352,wdr,296
