contest_id,entry_id,event_id,link_status,name_raw,published_wsdc_id,role,source
2024-06-disco-america/novice-pro-am-follower-salsa,2024-06-disco-america/novice-pro-am-follower-salsa/F-245,2024-06-disco-america,unmatched,EvaVictoria White and Sharone,,follower,eepro
2024-06-disco-america/novice-pro-am-follower-salsa,2024-06-disco-america/novice-pro-am-follower-salsa/F-268,2024-06-disco-america,unmatched,Marla Conley and Lori Ann Roche,,follower,eepro
2024-06-disco-america/novice-pro-am-follower,2024-06-disco-america/novice-pro-am-follower/F-124,2024-06-disco-america,unmatched,Sara Jones and Gustavo Rueda,,follower,eepro
2024-06-disco-america/novice-pro-am-follower,2024-06-disco-america/novice-pro-am-follower/F-234,2024-06-disco-america,unmatched,Katie Valentine and Robert Chukrallah,,follower,eepro
2024-06-disco-america/novice-pro-am-follower,2024-06-disco-america/novice-pro-am-follower/F-245,2024-06-disco-america,unmatched,EvaVictoria White and Gustavo R,,follower,eepro
2024-06-disco-america/novice-pro-am-follower,2024-06-disco-america/novice-pro-am-follower/F-268,2024-06-disco-america,unmatched,Marla Conley and Lori Ann Roche,,follower,eepro
2024-06-disco-america/novice-pro-am-leader-bachata,2024-06-disco-america/novice-pro-am-leader-bachata/L-201,2024-06-disco-america,unmatched,Dirk F Moore and Sharonne Vinokurov,,leader,eepro
2024-06-disco-america/novice-pro-am-leader,2024-06-disco-america/novice-pro-am-leader/L-201,2024-06-disco-america,unmatched,Dirk F Moore and Sharonne Vinokurov,,leader,eepro
2024-06-disco-america/open-open-team-division,2024-06-disco-america/open-open-team-division/L-001,2024-06-disco-america,unmatched,Beat Brigade and RainerTrubere,,leader,eepro
2024-06-disco-america/other-advanced-amateur-just-hustle-advanced,2024-06-disco-america/other-advanced-amateur-just-hustle-advanced/L-1,2024-06-disco-america,unmatched,Bob Goot and Rose Burns,,leader,eepro
2024-06-disco-america/other-advanced-amateur-just-hustle-advanced,2024-06-disco-america/other-advanced-amateur-just-hustle-advanced/L-228,2024-06-disco-america,unmatched,Jack Ciecka and Anne-Marie Gavlas,,leader,eepro
2024-06-disco-america/other-advanced-amateur-just-hustle-silver-50-advanced,2024-06-disco-america/other-advanced-amateur-just-hustle-silver-50-advanced/L-204,2024-06-disco-america,unmatched,Bob Goot and Rose Burns,,leader,eepro
2024-06-disco-america/other-advanced-amateur-just-hustle-silver-50-advanced,2024-06-disco-america/other-advanced-amateur-just-hustle-silver-50-advanced/L-228,2024-06-disco-america,unmatched,Jack Ciecka and Anne Marie Gavlas,,leader,eepro
2024-06-disco-america/other-advanced-amateur-just-hustle-silver-50-advanced,2024-06-disco-america/other-advanced-amateur-just-hustle-silver-50-advanced/L-232,2024-06-disco-america,unmatched,Michael Phillip and Renee George,,leader,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-advanced-pro-am-follower-hustle-silver-50/F-132,2024-06-disco-america,unmatched,Deborah Cacase and Robert Lawrence,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-advanced-pro-am-follower-hustle-silver-50/F-135,2024-06-disco-america,unmatched,Barbara Gandy and Jaime Serna,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-advanced-pro-am-follower-hustle-silver-50/F-139,2024-06-disco-america,unmatched,Kathryn Johanessen and Jameson Kilburn,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-advanced-pro-am-follower-hustle-silver-50/F-229,2024-06-disco-america,unmatched,Carolina Castillo and Abdiel Jacobsen,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-advanced-pro-am-follower-hustle-silver-50/F-231,2024-06-disco-america,unmatched,Renee George and Rainer Trubere,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-advanced-pro-am-follower-hustle-silver-50/F-277,2024-06-disco-america,unmatched,Rose Burns and Jaime Serna,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-advanced-pro-am-follower-hustle-silver-50/F-291,2024-06-disco-america,unmatched,Maria Hurd and Daniel McGee,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle,2024-06-disco-america/other-advanced-pro-am-follower-hustle/F-124,2024-06-disco-america,unmatched,Sara Jones and Jaime Serna,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle,2024-06-disco-america/other-advanced-pro-am-follower-hustle/F-132,2024-06-disco-america,unmatched,Deborah Cacase and Robert Lawrence,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle,2024-06-disco-america/other-advanced-pro-am-follower-hustle/F-135,2024-06-disco-america,unmatched,Barbara Gandy and Jaime Serna,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle,2024-06-disco-america/other-advanced-pro-am-follower-hustle/F-139,2024-06-disco-america,unmatched,Kathryn Johanessen and Jameson Kilburn,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle,2024-06-disco-america/other-advanced-pro-am-follower-hustle/F-152,2024-06-disco-america,unmatched,Melissa Cibelli and Robert Lawrence,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle,2024-06-disco-america/other-advanced-pro-am-follower-hustle/F-229,2024-06-disco-america,unmatched,Carolina Castillo and Abdiel Jacobsen,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle,2024-06-disco-america/other-advanced-pro-am-follower-hustle/F-235,2024-06-disco-america,unmatched,Anna Patterson and Jaime Serna,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle,2024-06-disco-america/other-advanced-pro-am-follower-hustle/F-253,2024-06-disco-america,unmatched,Audrey Rigsbee and Daniel McGee,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle,2024-06-disco-america/other-advanced-pro-am-follower-hustle/F-300,2024-06-disco-america,unmatched,Alisa Pasciuto and abdiel Jacobsen,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-follower-hustle,2024-06-disco-america/other-advanced-pro-am-follower-hustle/F-92,2024-06-disco-america,unmatched,Monique Esposito and Jamie Serna,,follower,eepro
2024-06-disco-america/other-advanced-pro-am-leader-hustle-silver-50,2024-06-disco-america/other-advanced-pro-am-leader-hustle-silver-50/L-204,2024-06-disco-america,unmatched,Bob Goot and Erica Smith,,leader,eepro
2024-06-disco-america/other-advanced-pro-am-leader-hustle-silver-50,2024-06-disco-america/other-advanced-pro-am-leader-hustle-silver-50/L-228,2024-06-disco-america,unmatched,Jack Ciecka and Ashely Lumberg,,leader,eepro
2024-06-disco-america/other-advanced-pro-am-leader-hustle-silver-50,2024-06-disco-america/other-advanced-pro-am-leader-hustle-silver-50/L-244,2024-06-disco-america,unmatched,David Cicalese and Annie Lebedeva,,leader,eepro
2024-06-disco-america/other-advanced-pro-am-leader-hustle,2024-06-disco-america/other-advanced-pro-am-leader-hustle/L-204,2024-06-disco-america,unmatched,Bob Goot and Erica Smith,,leader,eepro
2024-06-disco-america/other-advanced-pro-am-leader-hustle,2024-06-disco-america/other-advanced-pro-am-leader-hustle/L-228,2024-06-disco-america,unmatched,Jack Ciecka and Ashely Lumberg,,leader,eepro
2024-06-disco-america/other-advanced-pro-am-leader-hustle,2024-06-disco-america/other-advanced-pro-am-leader-hustle/L-244,2024-06-disco-america,unmatched,David Cicalese and Daniel McGee,,leader,eepro
2024-06-disco-america/other-amateur-just-hustle-pre-adv,2024-06-disco-america/other-amateur-just-hustle-pre-adv/L-272,2024-06-disco-america,unmatched,Mei Cheung and Aly Blake,,leader,eepro
2024-06-disco-america/other-amateur-just-hustle-pre-int,2024-06-disco-america/other-amateur-just-hustle-pre-int/L-129,2024-06-disco-america,unmatched,Edwin Hisona and Cara Lyons,,leader,eepro
